*** Booting Zephyr OS build v4.0.0-2079-g85e83038613a ***
[00:00:00.250,793] <dbg> bttester: tester_init: Initializing tester
[00:00:05.957,031] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.961,334] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,517] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,700] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,883] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.962,036] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.962,188] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.962,371] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.962,524] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.962,707] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.962,890] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.963,043] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.963,226] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.963,409] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.963,500] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.963,531] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.963,562] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.963,653] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.963,867] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,019] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,202] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,385] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,599] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,813] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.964,843] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.964,874] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.964,904] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.001,281] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:12.475,952] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0a index 0x00
[00:00:12.476,104] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.476,257] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.476,470] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.476,623] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.476,928] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.107,971] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:13.108,001] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:13.109,680] <dbg> bttester: tester_event: service 0x01 opcode 0x80
[00:00:13.110,809] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.110,961] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.111,083] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.111,206] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.921,936] <dbg> bttester_gap: le_disconnected: C0:07:E8:1C:28:DF (public): 0x13
[00:00:17.921,966] <dbg> bttester: tester_event: service 0x01 opcode 0x83
