*** Booting Zephyr OS build v4.0.0-rc2-191-gdc2c13bebdba ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.976,837] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:05.981,048] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,231] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,384] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,567] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,719] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,903] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,055] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,208] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,391] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,543] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,727] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,910] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,062] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,184] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.983,215] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.983,245] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 0
[00:00:05.983,337] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,520] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,673] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,856] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.984,039] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.984,252] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.984,466] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.984,497] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.984,527] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.984,558] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.016,510] <dbg> bttester: cmd_handler: cmd service 1 opcode 3 index 0
[00:00:06.444,580] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.444,610] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.487,945] <dbg> bttester: cmd_handler: cmd service 1 opcode 16 index 0
[00:00:06.487,976] <dbg> bttester_gap: set_io_cap: io_cap: 4
[00:00:06.488,006] <dbg> bttester: tester_rsp_with_index: service 1 opcode 16 index 0 status 0
[00:00:06.500,213] <dbg> bttester: cmd_handler: cmd service 2 opcode 2 index 0
[00:00:06.500,244] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.542,816] <dbg> bttester: cmd_handler: cmd service 2 opcode 3 index 0
[00:00:06.542,846] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.542,846] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.590,362] <dbg> bttester: cmd_handler: cmd service 2 opcode 6 index 0
[00:00:06.590,393] <dbg> bttester: tester_rsp_with_index: service 2 opcode 6 index 0 status 0
[00:00:06.658,050] <dbg> bttester: cmd_handler: cmd service 2 opcode 3 index 0
[00:00:06.658,050] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.658,081] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.724,792] <dbg> bttester: cmd_handler: cmd service 2 opcode 6 index 0
[00:00:06.724,822] <dbg> bttester: tester_rsp_with_index: service 2 opcode 6 index 0 status 0
[00:00:06.818,542] <dbg> bttester: cmd_handler: cmd service 2 opcode 3 index 0
[00:00:06.818,572] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.818,572] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.856,109] <dbg> bttester: cmd_handler: cmd service 2 opcode 6 index 0
[00:00:06.856,140] <dbg> bttester: tester_rsp_with_index: service 2 opcode 6 index 0 status 0
[00:00:06.915,496] <dbg> bttester: cmd_handler: cmd service 2 opcode 3 index 0
[00:00:06.915,527] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.915,557] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.978,149] <dbg> bttester: cmd_handler: cmd service 2 opcode 6 index 0
[00:00:06.978,179] <dbg> bttester: tester_rsp_with_index: service 2 opcode 6 index 0 status 0
[00:00:07.052,581] <dbg> bttester: cmd_handler: cmd service 2 opcode 7 index 0
[00:00:13.113,830] <dbg> bttester: cmd_handler: cmd service 1 opcode 10 index 0
[00:00:13.113,983] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.114,135] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.114,318] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.114,501] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.114,807] <wrn> net_buf: Timeout discarded. No blocking in syswq
