*** Booting Zephyr OS build 4.1.99 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.932,647] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.938,720] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.938,751] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.938,781] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 99
[00:00:05.939,697] <inf> bt_hci_core: HCI transport: Controller
[00:00:05.939,788] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.939,819] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.939,849] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.939,880] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.965,759] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x01 index 0xff
[00:00:06.012,451] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.593,536] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.593,566] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.655,883] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x01 index 0xff
[00:00:06.714,691] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x10 index 0x00
[00:00:06.714,721] <dbg> bttester_gap: set_io_cap: io_cap: 4
[00:00:06.714,752] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x10 index 0x00 status 0x00
[00:00:06.753,417] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x02 index 0x00
[00:00:06.753,448] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.821,655] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.821,655] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.821,716] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.868,774] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.868,835] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.931,579] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.931,610] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.931,610] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.984,619] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.984,649] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.038,085] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:07.038,085] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.038,116] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.094,482] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:07.094,543] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.147,918] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:07.147,949] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.147,949] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.263,427] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:07.263,458] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.314,910] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x07 index 0x00
[00:00:13.366,851] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0a index 0x00
