*** Booting Zephyr OS build v3.7.0-4339-g1ec5ce05f9f8 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:06.005,004] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,187] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,371] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,554] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,737] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,920] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,072] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,256] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,408] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,591] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,774] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,958] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.007,141] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.007,324] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.007,446] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.007,476] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:06.007,507] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.7 Build 99
[00:00:06.007,598] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.007,781] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.007,965] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.008,148] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.008,361] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.008,575] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.008,789] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:06.008,819] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.008,850] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.049,072] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.537,261] <dbg> bttester_gap: set_io_cap: io_cap: 4
[00:00:06.585,296] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.685,791] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.685,821] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.751,373] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.751,373] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.872,406] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.872,436] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.979,125] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.979,156] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:15.217,346] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.297,973] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.298,095] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.298,217] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.298,370] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:16.448,577] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.398,834] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.697,570] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.697,784] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.697,937] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.848,358] <wrn> bt_conn: Timeout discarded. No blocking in syswq.
[00:00:19.393,310] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:19.393,585] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:29.410,064] <wrn> net_buf: Timeout discarded. No blocking in syswq
