*** Booting Zephyr OS build v3.7.0-3588-gd11997dbcf2f ***
[00:00:00.250,793] <dbg> bttester: tester_init: Initializing tester
[00:00:05.957,550] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.957,580] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.957,641] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.7 Build 99
[00:00:05.958,801] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.958,831] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.958,862] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.467,315] <dbg> bttester_gap: set_io_cap: io_cap: 4
[00:00:06.514,617] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.583,526] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.583,526] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.679,260] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.679,321] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.805,877] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.805,908] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.957,092] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.957,122] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
