*** Booting Zephyr OS build 4.1.99 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.940,887] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.947,021] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.947,052] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.947,082] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 99
[00:00:05.947,998] <inf> bt_hci_core: HCI transport: Controller
[00:00:05.948,089] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.948,120] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.948,150] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.948,181] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.983,398] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x01 index 0xff
[00:00:06.026,000] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.589,202] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.589,263] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.595,886] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x01 index 0xff
[00:00:06.684,906] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x10 index 0x00
[00:00:06.684,936] <dbg> bttester_gap: set_io_cap: io_cap: 4
[00:00:06.684,967] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x10 index 0x00 status 0x00
[00:00:06.768,859] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x02 index 0x00
[00:00:06.768,890] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.899,291] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.899,291] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.899,353] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.999,023] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.999,084] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.061,706] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:07.061,706] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.061,737] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.155,914] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:07.155,944] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.203,857] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:07.203,887] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.203,918] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.267,089] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:07.267,120] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.309,906] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:07.309,936] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.309,936] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.398,681] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:07.398,712] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.446,197] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x07 index 0x00
[00:00:14.534,484] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0e index 0x00
[00:00:14.535,156] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x0e index 0x00 status 0x00
[00:00:14.585,327] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:14.585,357] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:15.599,945] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0f index 0x00
[00:00:15.600,189] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x0f index 0x00 status 0x00
[00:00:15.636,871] <dbg> bttester_gap: le_disconnected: C0:07:E8:1C:28:DF (public): 0x16
[00:00:15.636,901] <dbg> bttester: tester_event: service 0x01 opcode 0x83
