*** Booting Zephyr OS build 4.1.99 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.910,858] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.917,175] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.917,205] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.917,236] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 99
[00:00:05.918,121] <inf> bt_hci_core: HCI transport: Controller
[00:00:05.918,243] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.918,273] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.918,304] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.918,334] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.942,749] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x01 index 0xff
[00:00:06.017,211] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.566,101] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.566,162] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.604,431] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x01 index 0xff
[00:00:06.677,673] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x10 index 0x00
[00:00:06.677,703] <dbg> bttester_gap: set_io_cap: io_cap: 4
[00:00:06.677,703] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x10 index 0x00 status 0x00
[00:00:06.720,520] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x02 index 0x00
[00:00:06.720,550] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.788,818] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.788,818] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.788,879] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.851,470] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.851,501] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.899,444] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.899,444] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.899,475] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.952,484] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.952,514] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.995,239] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.995,269] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.995,300] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.063,812] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:07.063,842] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.112,030] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:07.112,060] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.112,091] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.154,479] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:07.154,510] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.195,098] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x07 index 0x00
[00:00:16.243,408] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0a index 0x00
[00:00:16.561,523] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:16.561,553] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:16.563,049] <dbg> bttester: tester_event: service 0x01 opcode 0x80
[00:00:19.317,474] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0f index 0x00
[00:00:19.317,718] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x0f index 0x00 status 0x00
[00:00:19.437,988] <dbg> bttester_gap: le_disconnected: C0:07:E8:1C:28:DF (public): 0x16
[00:00:19.438,018] <dbg> bttester: tester_event: service 0x01 opcode 0x83
