*** Booting Zephyr OS build v3.7.0-4790-g6f64f7755796 ***
[00:00:00.250,732] <dbg> bttester: tester_init: Initializing tester
[00:00:05.955,596] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.955,810] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.955,993] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.956,176] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.956,359] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.956,512] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.956,695] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.956,878] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.957,031] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.957,214] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.957,397] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.957,580] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.957,763] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.957,885] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.957,916] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.957,946] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.7 Build 99
[00:00:05.958,038] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.958,221] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.958,404] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.958,587] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.958,770] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.959,014] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.959,228] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.959,259] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.959,289] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.459,381] <dbg> bttester_gap: set_io_cap: io_cap: 4
[00:00:06.485,900] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.544,311] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.544,342] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.661,254] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.661,285] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.757,263] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.757,293] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.838,806] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.838,836] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:26.111,419] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:26.111,602] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:26.111,816] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:26.111,999] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:26.112,304] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:26.432,586] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:26.432,739] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:26.432,861] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:26.432,983] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:29.171,997] <dbg> bttester_gatt: gatt_buf_add: 2/2048 used
[00:00:29.243,652] <dbg> bttester_gatt: gatt_buf_add: 5/2048 used
[00:00:29.243,682] <dbg> bttester_gatt: gatt_buf_add: 12/2048 used
[00:00:30.394,989] <wrn> net_buf: Timeout discarded. No blocking in syswq
