*** Booting Zephyr OS build 4.1.99 ***
[00:00:00.250,732] <dbg> bttester: tester_init: Initializing tester
[00:00:05.895,355] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.901,611] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.901,641] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.901,672] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 99
[00:00:05.902,618] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.902,648] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.902,679] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.902,709] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.948,455] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.516,693] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.516,754] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.570,007] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x10 index 0x00
[00:00:06.570,068] <dbg> bttester_gap: set_io_cap: io_cap: 4
[00:00:06.570,098] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x10 index 0x00 status 0x00
[00:00:06.596,801] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x02 index 0x00
[00:00:06.596,801] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.629,028] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.629,058] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.629,089] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.676,879] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.676,910] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.704,132] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.704,193] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.704,223] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.755,859] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.755,889] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.819,885] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.819,915] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.819,946] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.898,284] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.898,315] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.924,316] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.924,346] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.924,377] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.972,137] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.972,137] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.014,221] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x07 index 0x00
[00:00:14.096,099] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x26 index 0x00
[00:00:14.096,893] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x26 index 0x00 status 0x00
[00:00:14.162,750] <dbg> bttester_gap: pa_sync_synced_cb: 
[00:00:14.162,780] <dbg> bttester: tester_event: service 0x01 opcode 0x8d
[00:00:25.862,274] <dbg> bttester_gap: pa_sync_terminated_cb: 
[00:00:25.862,304] <dbg> bttester_gap: pa_sync_terminated_cb: PA sync lost with reason 31
[00:00:25.862,335] <dbg> bttester: tester_event: service 0x01 opcode 0x8e
