*** Booting Zephyr OS build v3.7.0-4339-g1ec5ce05f9f8 ***
[00:00:00.384,796] <dbg> bttester: tester_init: Initializing tester
[00:00:42.775,054] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:42.775,268] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:42.775,451] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:42.775,634] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:42.775,817] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:42.775,970] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:42.776,153] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:42.776,306] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:42.776,489] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:42.776,672] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:42.776,855] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:42.777,038] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:42.777,221] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:42.777,313] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:42.777,374] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:42.777,404] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.7 Build 99
[00:00:42.777,496] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:42.777,679] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:42.777,832] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:42.778,015] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:42.778,228] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:42.778,442] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:42.778,656] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:42.778,686] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:42.778,717] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:43.157,318] <dbg> bttester_gap: set_io_cap: io_cap: 4
[00:00:43.185,424] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:43.269,531] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:43.269,561] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:43.335,266] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:43.335,296] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:43.488,708] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:43.488,708] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:43.579,315] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:43.579,345] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:01:03.709,014] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:03.709,197] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:03.709,381] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:03.709,564] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:03.709,869] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:03.820,892] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:03.821,044] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:03.821,166] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:01:03.821,289] <wrn> net_buf: Timeout discarded. No blocking in syswq
