*** Booting Zephyr OS build v4.0.0-735-geb4f2fb44a0e ***
[00:00:00.386,260] <dbg> bttester: tester_init: Initializing tester
[00:00:50.460,662] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:50.464,996] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:50.465,179] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:50.465,332] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:50.465,545] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:50.465,698] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:50.465,850] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:50.466,003] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:50.466,186] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:50.466,339] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:50.466,522] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:50.466,705] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:50.466,857] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:50.467,041] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:50.467,163] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:50.467,193] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:50.467,224] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:50.467,285] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:50.467,498] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:50.467,651] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:50.467,834] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:50.468,017] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:50.468,231] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:50.468,444] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:50.468,475] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:50.468,505] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:50.468,536] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:50.488,281] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:50.795,867] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:50.795,928] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:50.807,830] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x10 index 0x00
[00:00:50.807,861] <dbg> bttester_gap: set_io_cap: io_cap: 4
[00:00:50.807,891] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x10 index 0x00 status 0x00
[00:00:50.872,436] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x02 index 0x00
[00:00:50.872,467] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:50.937,286] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:50.937,316] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:50.937,347] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:51.019,348] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:51.019,378] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:51.032,806] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:51.032,836] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:51.032,867] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:51.048,492] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:51.048,522] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:51.075,286] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
