*** Booting Zephyr OS build v4.0.0-2079-g85e83038613a ***
[00:00:00.388,885] <dbg> bttester: tester_init: Initializing tester
[00:00:37.069,396] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:37.073,822] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.073,974] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.074,157] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.074,340] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.074,523] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.074,676] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.074,829] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.075,012] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.075,164] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.075,347] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.075,531] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.075,714] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.075,866] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.075,988] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:37.076,019] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:37.076,049] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:37.076,141] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.076,324] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.076,507] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.076,660] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.076,873] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.077,087] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:37.077,301] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:37.077,331] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:37.077,362] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:37.077,392] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:37.121,978] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:37.603,759] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:37.603,820] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:37.645,843] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x10 index 0x00
[00:00:37.645,874] <dbg> bttester_gap: set_io_cap: io_cap: 4
[00:00:37.645,874] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x10 index 0x00 status 0x00
[00:00:37.736,206] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x02 index 0x00
[00:00:37.736,206] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:37.803,497] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:37.803,497] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:37.803,527] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:37.877,563] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:37.877,624] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:37.905,792] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:37.905,822] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:37.905,853] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:37.917,388] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:37.917,419] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:37.975,677] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
