*** Booting Zephyr OS build v4.0.0-2578-g6b65d60d49a0 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.967,773] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.972,076] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,229] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,412] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,595] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,778] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,930] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.973,083] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.973,266] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.973,419] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.973,602] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.973,785] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.973,968] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.974,121] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.974,243] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.974,273] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.974,304] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.974,395] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.974,578] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.974,761] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.974,914] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.975,128] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.975,341] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.975,524] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.975,585] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.975,616] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.975,646] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.006,774] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.716,430] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.716,491] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.724,517] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x10 index 0x00
[00:00:06.724,548] <dbg> bttester_gap: set_io_cap: io_cap: 4
[00:00:06.724,578] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x10 index 0x00 status 0x00
[00:00:06.753,417] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x02 index 0x00
[00:00:06.753,448] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.791,656] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.791,687] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.791,687] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.824,005] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.824,066] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.847,900] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.847,930] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.847,961] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.884,613] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.884,613] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.906,097] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.906,127] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.906,158] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.922,515] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.922,546] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.936,279] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.936,309] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.936,309] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.942,687] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.942,687] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.949,005] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x07 index 0x00
[00:00:14.989,379] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0e index 0x00
[00:00:14.989,990] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.990,112] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x0e index 0x00 status 0x00
[00:00:15.051,116] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:15.051,116] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:15.052,795] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.052,947] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.053,039] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.053,192] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:16.053,588] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x11 index 0x00
[00:00:16.055,084] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x11 index 0x00 status 0x00
[00:00:16.253,723] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:16.373,138] <dbg> bttester: tester_event: service 0x01 opcode 0x86
[00:00:17.093,109] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x14 index 0x00
[00:00:17.094,848] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x14 index 0x00 status 0x00
[00:00:17.272,766] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.512,268] <dbg> bttester: tester_event: service 0x01 opcode 0x89
[00:00:17.513,977] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.514,129] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.514,312] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:20.107,086] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x1b index 0x00
[00:00:20.452,301] <dbg> bttester: tester_rsp: service 0x02 opcode 0x1b status 0x00
