*** Booting Zephyr OS build v4.0.0-1231-g6c7b38f5fa1c ***
[00:00:00.250,732] <dbg> bttester: tester_init: Initializing tester
[00:00:05.970,733] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.974,853] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.975,036] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.975,189] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.975,402] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.975,555] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.975,708] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.975,891] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.976,043] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.976,196] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.976,379] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.976,562] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.976,745] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.976,898] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,020] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.977,050] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.977,081] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.977,172] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,355] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,539] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,691] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,874] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.978,118] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.978,332] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.978,363] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.978,393] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.978,424] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.014,404] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.511,108] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.511,138] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:08.575,897] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x08 index 0x00
[00:00:08.635,650] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0a index 0x00
[00:00:08.635,803] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.635,955] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.636,138] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.636,322] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.636,657] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.165,161] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:09.165,161] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:09.166,687] <dbg> bttester: tester_event: service 0x01 opcode 0x80
[00:00:09.167,755] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.167,877] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.167,999] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.168,121] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.041,259] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.270,996] <dbg> bttester: tester_event: service 0x01 opcode 0x89
[00:00:12.355,163] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.355,346] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.355,499] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.258,911] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x12 index 0x00
[00:00:13.258,941] <dbg> bttester_gatt: gatt_buf_add: 2/2048 used
[00:00:13.353,698] <dbg> bttester: tester_rsp_full: service 0x02 opcode 0x12
[00:00:14.165,008] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.291,015] <dbg> bttester: tester_event: service 0x01 opcode 0x88
[00:00:16.041,595] <dbg> bttester_gap: le_disconnected: C0:07:E8:1C:28:DF (public): 0x13
[00:00:16.041,625] <dbg> bttester: tester_event: service 0x01 opcode 0x83
