*** Booting Zephyr OS build v4.0.0-rc2 ***
[00:00:00.250,793] <dbg> bttester: tester_init: Initializing tester
[00:00:06.015,380] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.019,378] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.019,531] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.019,714] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.019,897] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.020,080] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.020,233] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.020,385] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.020,568] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.020,721] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.020,904] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.021,087] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.021,240] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.021,423] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.021,545] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.021,575] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:06.021,606] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 0
[00:00:06.021,697] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.021,881] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.022,033] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.022,216] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.022,399] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.022,613] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.022,827] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:06.022,857] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.022,888] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
