*** Booting Zephyr OS build v4.0.0-rc2-191-gdc2c13bebdba ***
[00:00:00.250,793] <dbg> bttester: tester_init: Initializing tester
[00:00:05.949,981] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:05.954,315] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.954,498] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.954,681] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.954,864] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.955,017] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.955,169] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.955,352] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.955,505] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.955,657] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.955,841] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.956,024] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.956,207] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.956,359] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.956,481] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.956,512] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.956,542] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 0
[00:00:05.956,634] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.956,817] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.956,970] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.957,153] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.957,336] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.957,550] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.957,763] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.957,794] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.957,824] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.957,855] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.011,718] <dbg> bttester: cmd_handler: cmd service 1 opcode 3 index 0
[00:00:06.308,990] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.309,051] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:11.333,679] <dbg> bttester: cmd_handler: cmd service 1 opcode 8 index 0
[00:00:11.374,114] <dbg> bttester: cmd_handler: cmd service 1 opcode 10 index 0
[00:00:11.374,267] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.374,420] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.374,603] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.374,786] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.375,091] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.689,941] <dbg> bttester: tester_event: service 1 opcode 130
[00:00:11.691,467] <dbg> bttester: tester_event: service 1 opcode 128
[00:00:11.692,535] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.692,687] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.692,779] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.692,932] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.807,983] <dbg> bttester: cmd_handler: cmd service 2 opcode 23 index 0
[00:00:12.878,540] <dbg> bttester: tester_rsp_full: service 2 opcode 23
[00:00:15.253,662] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.483,642] <dbg> bttester: tester_event: service 1 opcode 137
[00:00:15.567,535] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.567,687] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.567,871] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:16.689,880] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:16.815,887] <dbg> bttester: tester_event: service 1 opcode 136
[00:00:16.907,073] <dbg> bttester: cmd_handler: cmd service 2 opcode 32 index 0
[00:00:16.907,104] <dbg> bttester_gatt: gatt_buf_add: 3/2048 used
[00:00:16.908,660] <err> bttester: BT tester: RX overflow
[00:00:46.907,440] <err> bt_att: ATT Timeout for device C0:07:E8:1C:28:DF (public). Disconnecting...
[00:00:46.907,501] <dbg> bttester: tester_rsp_full: service 2 opcode 32
[00:00:46.908,630] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:47.003,692] <dbg> bttester: tester_event: service 1 opcode 131
