*** Booting Zephyr OS build v4.0.0-2079-g85e83038613a ***
[00:00:00.250,793] <dbg> bttester: tester_init: Initializing tester
[00:00:05.963,043] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.967,132] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,315] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,498] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,681] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,834] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,987] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.968,170] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.968,322] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.968,505] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.968,688] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.968,841] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,024] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,207] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,299] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.969,329] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.969,390] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.969,482] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,665] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,818] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,001] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,184] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,428] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,611] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.970,642] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.970,672] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.970,703] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.991,149] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.492,065] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.492,126] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:14.542,388] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x08 index 0x00
[00:00:14.617,736] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0a index 0x00
[00:00:14.617,858] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.618,011] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.618,194] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.618,377] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.618,682] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.931,671] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:14.931,701] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:14.933,319] <dbg> bttester: tester_event: service 0x01 opcode 0x80
[00:00:14.934,448] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.934,570] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.934,692] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.934,814] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:19.931,549] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:20.057,525] <dbg> bttester: tester_event: service 0x01 opcode 0x88
[00:00:22.995,300] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:23.225,128] <dbg> bttester: tester_event: service 0x01 opcode 0x89
[00:00:23.309,173] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:23.309,356] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:23.309,509] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:25.620,574] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:25.745,574] <dbg> bttester: tester_event: service 0x01 opcode 0x89
[00:00:31.005,310] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x12 index 0x00
[00:00:31.005,371] <dbg> bttester_gatt: gatt_buf_add: 2/2048 used
[00:00:31.120,239] <dbg> bttester_gatt: gatt_buf_add: 5/2048 used
[00:00:31.120,269] <dbg> bttester_gatt: gatt_buf_add: 21/2048 used
[00:00:31.370,117] <dbg> bttester: tester_rsp_full: service 0x02 opcode 0x12
[00:00:32.558,135] <dbg> bttester_gap: le_disconnected: C0:07:E8:1C:28:DF (public): 0x13
[00:00:32.558,166] <dbg> bttester: tester_event: service 0x01 opcode 0x83
