*** Booting Zephyr OS build v4.0.0-rc2-191-gdc2c13bebdba ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.972,106] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:05.976,715] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.976,867] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,050] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,233] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,386] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,539] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,722] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,874] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.978,027] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.978,210] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.978,393] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.978,546] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.978,729] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.978,851] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.978,881] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.978,912] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 0
[00:00:05.979,003] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.979,187] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.979,339] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.979,522] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.979,705] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.979,919] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.980,133] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.980,163] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.980,194] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.980,224] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.057,067] <dbg> bttester: cmd_handler: cmd service 1 opcode 3 index 0
[00:00:06.296,783] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.296,844] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:13.347,717] <dbg> bttester: cmd_handler: cmd service 1 opcode 8 index 0
[00:00:13.366,912] <dbg> bttester: cmd_handler: cmd service 1 opcode 10 index 0
[00:00:13.367,034] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.367,218] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.367,401] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.367,553] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.367,858] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.212,310] <dbg> bttester: tester_event: service 1 opcode 130
[00:00:14.213,867] <dbg> bttester: tester_event: service 1 opcode 128
[00:00:14.214,904] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.215,057] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.215,148] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.215,301] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:19.212,249] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:19.338,226] <dbg> bttester: tester_event: service 1 opcode 136
[00:00:22.338,500] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:22.568,237] <dbg> bttester: tester_event: service 1 opcode 137
[00:00:22.652,374] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:22.652,526] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:22.652,709] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:24.963,745] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:25.088,745] <dbg> bttester: tester_event: service 1 opcode 137
[00:00:30.341,735] <dbg> bttester: cmd_handler: cmd service 2 opcode 24 index 0
[00:00:30.713,745] <dbg> bttester: tester_rsp_full: service 2 opcode 24
[00:00:32.026,214] <dbg> bttester: tester_event: service 1 opcode 131
