*** Booting Zephyr OS build 4.1.99 ***
[00:00:00.250,793] <dbg> bttester: tester_init: Initializing tester
[00:00:05.952,728] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.958,953] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.958,984] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.959,014] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 99
[00:00:05.959,930] <inf> bt_hci_core: HCI transport: Controller
[00:00:05.960,021] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.960,052] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.960,113] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.960,113] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.976,776] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x01 index 0xff
[00:00:06.044,586] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.044,616] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.077,728] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x01 index 0xff
[00:00:06.161,529] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.460,845] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x10 index 0x00
[00:00:06.460,876] <dbg> bttester_gap: set_io_cap: io_cap: 0
[00:00:06.460,906] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x10 index 0x00 status 0x00
[00:00:06.514,312] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x02 index 0x00
[00:00:06.514,312] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.619,445] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.619,476] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.619,476] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.709,197] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.709,228] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.745,147] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.745,208] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.745,239] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.814,910] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.814,941] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.846,343] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.846,374] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.846,405] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.925,201] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.925,231] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.982,604] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.982,635] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.982,666] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.098,754] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
