*** Booting Zephyr OS build v4.0.0-rc3-87-g1bf22569fc5e ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.961,517] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:05.965,850] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.966,033] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.966,186] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.966,369] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.966,552] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.966,705] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.966,857] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,010] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,193] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,376] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,529] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,712] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,864] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,987] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.968,017] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.968,048] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 0
[00:00:05.968,139] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.968,322] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.968,505] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.968,658] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.968,841] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,085] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,268] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.969,299] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.969,329] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.969,360] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.035,827] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.035,858] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.109,375] <dbg> bttester: cmd_handler: cmd service 1 opcode 3 index 0
[00:00:06.308,288] <dbg> bttester: cmd_handler: cmd service 1 opcode 16 index 0
[00:00:06.308,319] <dbg> bttester_gap: set_io_cap: io_cap: 0
[00:00:06.308,349] <dbg> bttester: tester_rsp_with_index: service 1 opcode 16 index 0 status 0
[00:00:06.341,552] <dbg> bttester: cmd_handler: cmd service 2 opcode 2 index 0
[00:00:06.341,583] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.409,851] <dbg> bttester: cmd_handler: cmd service 2 opcode 3 index 0
[00:00:06.409,881] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.409,881] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.458,129] <dbg> bttester: cmd_handler: cmd service 2 opcode 6 index 0
[00:00:06.458,160] <dbg> bttester: tester_rsp_with_index: service 2 opcode 6 index 0 status 0
[00:00:06.494,110] <dbg> bttester: cmd_handler: cmd service 2 opcode 3 index 0
[00:00:06.494,171] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.494,171] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.521,911] <dbg> bttester: cmd_handler: cmd service 2 opcode 6 index 0
[00:00:06.521,942] <dbg> bttester: tester_rsp_with_index: service 2 opcode 6 index 0 status 0
[00:00:06.584,503] <dbg> bttester: cmd_handler: cmd service 2 opcode 3 index 0
[00:00:06.584,503] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.584,533] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.679,290] <dbg> bttester: cmd_handler: cmd service 2 opcode 6 index 0
[00:00:06.679,290] <dbg> bttester: tester_rsp_with_index: service 2 opcode 6 index 0 status 0
[00:00:06.712,249] <dbg> bttester: cmd_handler: cmd service 2 opcode 3 index 0
