*** Booting Zephyr OS build 4.1.99 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.890,411] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.896,301] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.896,331] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.896,392] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 99
[00:00:05.897,277] <inf> bt_hci_core: HCI transport: Controller
[00:00:05.897,369] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.897,430] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.897,460] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.897,460] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.938,140] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x01 index 0xff
[00:00:06.028,686] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.028,717] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.071,166] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x01 index 0xff
[00:00:06.129,547] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.401,702] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x10 index 0x00
[00:00:06.401,733] <dbg> bttester_gap: set_io_cap: io_cap: 0
[00:00:06.401,763] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x10 index 0x00 status 0x00
[00:00:06.428,497] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x02 index 0x00
[00:00:06.428,527] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.503,204] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.503,234] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.503,234] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.614,166] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.614,196] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.660,644] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.660,705] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.660,705] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.739,746] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.739,776] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.808,288] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.808,319] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.808,319] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.851,440] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.851,470] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.878,234] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.878,295] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.878,295] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.936,065] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.936,096] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.983,367] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.983,367] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.983,398] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.031,860] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:07.031,890] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.119,415] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x04 index 0x00
[00:00:07.119,476] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.229,827] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:07.229,858] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.229,858] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.315,429] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:07.315,460] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.357,482] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x04 index 0x00
[00:00:07.357,513] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.456,176] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:07.456,207] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.456,237] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.498,626] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:07.498,687] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.556,579] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:07.556,610] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.556,610] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.666,107] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:07.666,137] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.698,852] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:07.698,883] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.698,913] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.767,822] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:07.767,852] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.794,036] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x04 index 0x00
[00:00:07.794,067] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.841,857] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:07.841,888] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.870,056] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:07.870,086] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.870,086] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.923,736] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:07.923,797] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.975,982] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x09 index 0x00
[00:00:07.976,043] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x09 index 0x00 status 0x00
[00:00:08.024,139] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:08.024,169] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:08.024,200] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:08.103,027] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:08.103,057] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:08.119,567] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x09 index 0x00
[00:00:08.119,598] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x09 index 0x00 status 0x00
[00:00:08.137,420] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:08.137,451] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:08.137,481] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:08.183,563] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:08.183,624] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:08.277,221] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x02 index 0x00
[00:00:08.277,313] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:08.340,911] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x05 index 0x00
[00:00:08.340,942] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:08.403,930] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:08.403,930] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:08.403,961] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:08.459,899] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:08.459,930] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:08.479,156] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:08.479,217] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:08.479,248] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:08.551,147] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
