*** Booting Zephyr OS build v4.2.0-694-g5c7c3980eb06 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.895,416] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.901,763] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.901,794] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.901,824] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.2 Build 99
[00:00:05.902,709] <inf> bt_hci_core: HCI transport: Controller
[00:00:05.902,801] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.902,832] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.902,893] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.902,893] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.932,708] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x01 index 0xff
[00:00:06.057,830] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.057,861] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.094,879] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x01 index 0xff
[00:00:06.153,533] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.440,612] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x10 index 0x00
[00:00:06.440,673] <dbg> bttester_gap: set_io_cap: io_cap: 0
[00:00:06.440,673] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x10 index 0x00 status 0x00
[00:00:06.524,627] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x02 index 0x00
[00:00:06.524,658] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.588,928] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.588,958] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.588,958] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.708,953] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.708,984] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.740,020] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.740,051] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.740,081] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.768,310] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.768,341] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.810,455] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.810,485] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.810,516] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.894,683] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.894,714] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.910,858] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.910,888] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.910,919] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.934,020] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.934,051] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.997,375] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.997,375] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.997,406] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.019,226] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:07.019,256] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.051,635] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x04 index 0x00
[00:00:07.051,666] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.155,487] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:07.155,517] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.155,517] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.228,912] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:07.228,942] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.276,367] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x04 index 0x00
[00:00:07.276,397] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.390,869] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:07.390,930] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
