*** Booting Zephyr OS build 4.1.99 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.908,203] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.914,215] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.914,245] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.914,276] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 99
[00:00:05.915,222] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.915,252] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.915,283] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.915,313] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.940,032] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x01 index 0xff
[00:00:06.075,561] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.075,622] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.154,144] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x01 index 0xff
[00:00:06.209,930] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.391,021] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x10 index 0x00
[00:00:06.391,052] <dbg> bttester_gap: set_io_cap: io_cap: 0
[00:00:06.391,082] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x10 index 0x00 status 0x00
[00:00:06.426,177] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x02 index 0x00
[00:00:06.426,177] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.484,832] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.484,832] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.484,863] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.547,912] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.547,943] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.614,929] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.614,959] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.614,990] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.704,406] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.704,406] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.746,520] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.746,551] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
