*** Booting Zephyr OS build 4.1.99 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.942,932] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.948,944] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.948,974] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.949,005] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 99
[00:00:05.949,981] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.950,012] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.950,042] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.950,073] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.021,392] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x01 index 0xff
[00:00:06.066,680] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.066,741] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.090,515] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x01 index 0xff
[00:00:06.095,794] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.483,093] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x10 index 0x00
[00:00:06.483,154] <dbg> bttester_gap: set_io_cap: io_cap: 0
[00:00:06.483,154] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x10 index 0x00 status 0x00
[00:00:06.514,038] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x02 index 0x00
[00:00:06.514,038] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.528,900] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.528,930] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.528,961] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
