*** Booting Zephyr OS build 4.1.99 ***
[00:00:00.250,732] <dbg> bttester: tester_init: Initializing tester
[00:00:05.896,118] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.902,252] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.902,282] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.902,313] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 99
[00:00:05.903,198] <inf> bt_hci_core: HCI transport: Controller
[00:00:05.903,320] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.903,350] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.903,381] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.903,411] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.908,264] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x01 index 0xff
[00:00:05.950,927] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.950,958] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.007,873] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x01 index 0xff
[00:00:06.086,212] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.429,229] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x10 index 0x00
[00:00:06.429,260] <dbg> bttester_gap: set_io_cap: io_cap: 0
[00:00:06.429,290] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x10 index 0x00 status 0x00
[00:00:06.488,159] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x02 index 0x00
[00:00:06.488,189] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.505,615] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.505,645] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.505,676] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.584,564] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.584,594] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.616,821] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.616,882] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.616,912] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.686,309] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.686,309] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.744,445] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.744,476] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.744,506] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.782,043] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.782,073] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:06.895,233] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:06.895,263] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.895,294] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.990,112] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:06.990,142] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.007,080] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:07.007,110] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.007,141] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.116,516] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:07.116,546] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.168,731] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x04 index 0x00
[00:00:07.168,792] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.386,535] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:07.386,566] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.386,596] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.440,185] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:07.440,216] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.487,670] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x04 index 0x00
[00:00:07.487,701] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.546,173] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:07.546,203] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.546,234] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.579,742] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:07.579,772] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.641,571] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:07.641,601] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.641,632] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.715,179] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:07.715,209] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.767,852] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:07.767,883] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.767,883] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.856,903] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:07.856,964] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.909,515] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x04 index 0x00
[00:00:07.909,545] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.946,929] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:07.946,929] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:07.989,593] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:07.989,624] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:07.989,654] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:08.052,337] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:08.052,398] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:08.084,594] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x09 index 0x00
[00:00:08.084,655] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x09 index 0x00 status 0x00
[00:00:08.147,491] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:08.147,491] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:08.147,521] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:08.231,506] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:08.231,536] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:08.273,254] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x09 index 0x00
[00:00:08.273,284] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x09 index 0x00 status 0x00
[00:00:08.297,821] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:08.297,851] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:08.297,882] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:08.395,782] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:08.395,843] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:08.453,430] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x02 index 0x00
[00:00:08.453,521] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:08.546,386] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x05 index 0x00
[00:00:08.546,417] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:08.630,828] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:08.630,859] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:08.630,889] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:08.708,068] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:08.708,129] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:08.752,319] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:08.752,349] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:08.752,380] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:08.833,465] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:08.833,496] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:08.900,085] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:08.900,115] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:08.900,115] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:08.998,016] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:08.998,046] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:09.040,466] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x09 index 0x00
[00:00:09.040,527] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x09 index 0x00 status 0x00
[00:00:09.119,201] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:09.119,201] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:09.119,232] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:09.205,169] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:09.205,200] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:09.235,107] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x04 index 0x00
[00:00:09.235,137] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:09.448,333] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:09.448,394] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:09.470,458] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:09.470,520] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:09.470,520] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:09.534,912] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:09.534,942] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:09.561,004] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x03 index 0x00
[00:00:09.561,035] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:09.561,065] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:09.694,732] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x06 index 0x00
[00:00:09.694,793] <dbg> bttester: tester_rsp_with_index: service 0x02 opcode 0x06 index 0x00 status 0x00
[00:00:09.752,044] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x07 index 0x00
[00:00:13.858,551] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x08 index 0x00
[00:00:13.866,058] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0a index 0x00
[00:00:14.496,307] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:14.496,307] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:14.497,802] <dbg> bttester: tester_event: service 0x01 opcode 0x80
[00:00:19.622,039] <dbg> bttester: tester_event: service 0x01 opcode 0x88
[00:00:23.539,611] <dbg> bttester: tester_event: service 0x01 opcode 0x91
[00:00:23.540,802] <dbg> bttester: tester_event: service 0x01 opcode 0x89
[00:00:26.809,692] <dbg> bttester: tester_event: service 0x02 opcode 0x81
[00:00:28.872,711] <dbg> bttester_gap: le_disconnected: C0:07:E8:1C:28:DF (public): 0x13
[00:00:28.872,772] <dbg> bttester: tester_event: service 0x01 opcode 0x83
