*** Booting Zephyr OS build v4.0.0-1675-g9cebb3ff6339 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.967,498] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.972,045] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,229] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,381] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,564] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,717] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,869] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.973,052] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.973,205] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.973,358] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.973,541] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.973,724] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.973,876] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.974,060] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.974,182] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.974,212] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.974,243] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.974,334] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.974,517] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.974,670] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.974,853] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.975,036] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.975,250] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.975,463] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.975,494] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.975,524] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.975,555] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.030,731] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.511,108] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.511,138] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.554,199] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.554,290] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.622,741] <dbg> bttester: cmd_handler: cmd service 0x1d opcode 0x02 index 0x00
[00:00:06.622,772] <dbg> bttester_ots: ots_obj_created: id=256 size=100
[00:00:12.736,419] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0a index 0x00
[00:00:12.736,572] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.736,724] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.736,907] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.737,091] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.737,396] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.359,344] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:13.359,344] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:13.360,961] <dbg> bttester: tester_event: service 0x01 opcode 0x80
[00:00:13.362,091] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.362,213] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.362,335] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.362,457] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:16.235,382] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:16.464,904] <dbg> bttester: tester_event: service 0x01 opcode 0x89
[00:00:16.549,285] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:16.549,468] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:16.549,621] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.110,443] <dbg> bttester_ots: ots_obj_selected: id=0
[00:00:18.110,717] <wrn> bt_conn: Timeout discarded. No blocking in syswq.
[00:00:18.359,130] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.485,168] <dbg> bttester: tester_event: service 0x01 opcode 0x88
[00:00:18.860,412] <dbg> bttester_ots: ots_obj_selected: id=256
[00:00:18.860,687] <wrn> bt_conn: Timeout discarded. No blocking in syswq.
[00:00:21.110,748] <dbg> bttester_gap: le_disconnected: C0:07:E8:1C:28:DF (public): 0x13
[00:00:21.110,809] <dbg> bttester: tester_event: service 0x01 opcode 0x83
