*** Booting Zephyr OS build v4.0.0-2079-g85e83038613a ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.965,789] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.969,879] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,062] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,245] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,428] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,581] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,764] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,916] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.971,069] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.971,252] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.971,435] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.971,618] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.971,771] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.971,954] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,076] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.972,106] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.972,137] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.972,229] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,412] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,595] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,747] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,930] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.973,175] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.973,358] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.973,419] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.973,449] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.973,449] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.055,358] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.456,787] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.456,817] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.480,804] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.480,895] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.533,508] <dbg> bttester: cmd_handler: cmd service 0x1d opcode 0x02 index 0x00
[00:00:06.533,538] <dbg> bttester_ots: ots_obj_created: id=256 size=100
[00:00:13.645,965] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0a index 0x00
[00:00:13.646,118] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.646,270] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.646,453] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.646,636] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.646,942] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.962,585] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:13.962,615] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:13.964,263] <dbg> bttester: tester_event: service 0x01 opcode 0x80
[00:00:13.965,393] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.965,545] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.965,667] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.965,789] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:16.838,714] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.068,572] <dbg> bttester: tester_event: service 0x01 opcode 0x89
[00:00:17.152,587] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.152,770] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.152,923] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.962,432] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:19.088,470] <dbg> bttester: tester_event: service 0x01 opcode 0x88
[00:00:20.463,714] <dbg> bttester_ots: ots_obj_selected: id=0
[00:00:20.464,019] <wrn> bt_conn: Timeout discarded. No blocking in syswq.
[00:00:21.213,714] <dbg> bttester_ots: ots_obj_selected: id=256
[00:00:21.213,989] <wrn> bt_conn: Timeout discarded. No blocking in syswq.
[00:00:22.088,958] <wrn> bt_conn: Timeout discarded. No blocking in syswq.
[00:00:22.838,928] <wrn> bt_conn: Timeout discarded. No blocking in syswq.
[00:00:22.963,592] <dbg> bttester_ots: ots_obj_read: id=256 data=0x2000dedc offset=0 len=50
[00:00:23.088,500] <dbg> bttester_ots: ots_obj_read: id=256 data=0 offset=50 len=0
[00:00:29.526,489] <dbg> bttester_gap: le_disconnected: C0:07:E8:1C:28:DF (public): 0x13
[00:00:29.526,550] <dbg> bttester: tester_event: service 0x01 opcode 0x83
