*** Booting Zephyr OS build v4.0.0-3179-gcbf867ff2cc8 ***
[00:00:00.388,000] <dbg> bttester: tester_init: Initializing tester
[00:00:38.301,208] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:38.305,328] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:38.305,480] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:38.305,664] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:38.305,847] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:38.305,999] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:38.306,182] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:38.306,335] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:38.306,488] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:38.306,671] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:38.306,854] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:38.307,037] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:38.307,220] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:38.307,403] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:38.307,525] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:38.307,556] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:38.307,586] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:38.307,678] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:38.307,861] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:38.308,044] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:38.308,227] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:38.308,410] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:38.308,654] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:38.308,868] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:38.308,898] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:38.308,929] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:38.308,959] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:38.343,719] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:38.808,959] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:38.809,020] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:38.831,329] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:38.831,420] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:38.878,601] <dbg> bttester: cmd_handler: cmd service 0x1d opcode 0x02 index 0x00
[00:00:38.878,631] <dbg> bttester_ots: ots_obj_created: id=256 size=100
[00:00:42.953,948] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0a index 0x00
[00:00:42.954,101] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:42.954,254] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:42.954,467] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:42.954,620] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:42.954,925] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:43.271,209] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:43.271,240] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:43.272,705] <dbg> bttester: tester_event: service 0x01 opcode 0x80
[00:00:43.273,803] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:43.273,956] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:43.274,047] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:43.274,200] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:46.147,308] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:46.376,800] <dbg> bttester: tester_event: service 0x01 opcode 0x89
[00:00:46.461,181] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:46.461,364] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:46.461,517] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:48.271,026] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:48.397,064] <dbg> bttester: tester_event: service 0x01 opcode 0x88
[00:00:49.772,308] <dbg> bttester_ots: ots_obj_selected: id=0
[00:00:49.772,613] <wrn> bt_conn: Timeout discarded. No blocking in syswq.
[00:00:50.522,308] <dbg> bttester_ots: ots_obj_selected: id=256
[00:00:50.522,583] <wrn> bt_conn: Timeout discarded. No blocking in syswq.
[00:00:52.710,144] <dbg> bttester_gap: le_disconnected: C0:07:E8:1C:28:DF (public): 0x13
[00:00:52.710,174] <dbg> bttester: tester_event: service 0x01 opcode 0x83
