*** Booting Zephyr OS build v4.0.0-1675-g9cebb3ff6339 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.964,843] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.969,024] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,207] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,360] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,573] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,726] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,879] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,031] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,214] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,367] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,550] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,733] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,886] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.971,069] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.971,160] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.971,191] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.971,221] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.971,313] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.971,496] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.971,679] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.971,862] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,045] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,259] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,473] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.972,503] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.972,534] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.972,564] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.039,123] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.498,504] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.498,565] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.556,091] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.556,182] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.628,082] <dbg> bttester: cmd_handler: cmd service 0x1d opcode 0x02 index 0x00
[00:00:06.628,112] <dbg> bttester_ots: ots_obj_created: id=256 size=100
[00:00:13.747,192] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0a index 0x00
[00:00:13.747,314] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.747,497] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.747,680] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.747,863] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.748,168] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.173,950] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:14.173,980] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:14.175,598] <dbg> bttester: tester_event: service 0x01 opcode 0x80
[00:00:14.176,696] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.176,849] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.176,940] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.177,093] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.050,018] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.280,212] <dbg> bttester: tester_event: service 0x01 opcode 0x89
[00:00:17.363,922] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.364,105] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.364,257] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:19.173,767] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:19.299,804] <dbg> bttester: tester_event: service 0x01 opcode 0x88
[00:00:20.424,987] <wrn> bt_ots: OLCP unsupported procedure type: 0x00
[00:00:20.425,262] <wrn> bt_conn: Timeout discarded. No blocking in syswq.
[00:00:20.550,354] <wrn> bt_ots: OLCP unsupported procedure type: 0xFF
[00:00:20.550,506] <wrn> bt_conn: Timeout discarded. No blocking in syswq.
[00:00:21.987,884] <dbg> bttester_gap: le_disconnected: C0:07:E8:1C:28:DF (public): 0x13
[00:00:21.987,945] <dbg> bttester: tester_event: service 0x01 opcode 0x83
