*** Booting Zephyr OS build v4.0.0-1231-g6c7b38f5fa1c ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.989,227] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.993,377] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.993,560] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.993,713] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.993,927] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.994,079] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.994,232] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.994,415] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.994,567] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.994,720] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.994,903] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.995,086] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.995,269] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.995,422] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.995,544] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.995,574] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.995,605] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.995,697] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.995,880] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.996,063] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.996,246] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.996,398] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.996,643] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.996,856] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.996,887] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.996,917] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.996,948] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.022,949] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.521,728] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.521,789] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.565,063] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.565,155] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.617,828] <dbg> bttester: cmd_handler: cmd service 0x1d opcode 0x02 index 0x00
[00:00:06.617,828] <dbg> bttester_ots: ots_obj_created: id=256 size=100
[00:00:09.643,035] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0a index 0x00
[00:00:09.643,188] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.643,341] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.643,554] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.643,707] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.644,042] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:10.059,600] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:10.059,600] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:10.061,096] <dbg> bttester: tester_event: service 0x01 opcode 0x80
[00:00:10.062,164] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:10.062,316] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:10.062,408] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:10.062,561] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.935,668] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.165,649] <dbg> bttester: tester_event: service 0x01 opcode 0x89
[00:00:13.249,572] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.249,755] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.249,908] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.059,417] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.185,455] <dbg> bttester: tester_event: service 0x01 opcode 0x88
[00:00:16.685,607] <wrn> bt_ots: OLCP indications not enabled
[00:00:18.123,535] <dbg> bttester_gap: le_disconnected: C0:07:E8:1C:28:DF (public): 0x13
[00:00:18.123,565] <dbg> bttester: tester_event: service 0x01 opcode 0x83
