*** Booting Zephyr OS build v4.0.0-1675-g9cebb3ff6339 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.960,235] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.964,569] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,752] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,904] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,087] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,270] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,423] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,576] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,728] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,911] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.966,094] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.966,247] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.966,430] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.966,583] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.966,705] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.966,735] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.966,766] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.966,857] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,041] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,224] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,376] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,559] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,803] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.968,017] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.968,048] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.968,078] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.968,109] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.997,711] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.484,405] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.484,466] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.528,106] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.528,198] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.595,336] <dbg> bttester: cmd_handler: cmd service 0x1d opcode 0x02 index 0x00
[00:00:06.595,367] <dbg> bttester_ots: ots_obj_created: id=256 size=100
[00:00:12.659,973] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0a index 0x00
[00:00:12.660,125] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.660,278] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.660,461] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.660,644] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.660,949] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.984,954] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:12.984,985] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:12.986,602] <dbg> bttester: tester_event: service 0x01 opcode 0x80
[00:00:12.987,701] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.987,854] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.987,945] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.988,098] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.861,022] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:16.090,881] <dbg> bttester: tester_event: service 0x01 opcode 0x89
[00:00:16.174,926] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:16.175,109] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:16.175,262] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.984,771] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.110,778] <dbg> bttester: tester_event: service 0x01 opcode 0x88
[00:00:18.673,889] <dbg> bttester_gap: le_disconnected: C0:07:E8:1C:28:DF (public): 0x13
[00:00:18.673,919] <dbg> bttester: tester_event: service 0x01 opcode 0x83
