*** Booting Zephyr OS build v4.0.0-2838-g8316f097ce2a ***
[00:00:00.250,793] <dbg> bttester: tester_init: Initializing tester
[00:00:06.464,660] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.468,963] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.469,146] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.469,299] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.469,482] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.469,665] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.469,818] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.469,970] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.470,123] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.470,306] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.470,489] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.470,642] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.470,825] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.471,008] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.471,099] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.471,130] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:06.471,160] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:06.471,252] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.471,435] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.471,618] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.471,801] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.471,954] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.472,198] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.472,412] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:06.472,442] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.472,473] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.472,503] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.512,573] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.963,012] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x10 index 0x00
[00:00:06.963,073] <dbg> bttester_gap: set_io_cap: io_cap: 2
[00:00:06.963,073] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x10 index 0x00 status 0x00
[00:00:06.976,104] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x09 index 0x00
[00:00:06.976,135] <dbg> bttester_gap: set_bondable: bondable: 0
[00:00:13.095,214] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0e index 0x00
[00:00:13.095,764] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.095,886] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x0e index 0x00 status 0x00
[00:00:13.111,633] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:13.111,663] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:13.113,342] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.113,494] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.113,586] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.113,739] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.171,936] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x11 index 0x00
[00:00:14.173,400] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x11 index 0x00 status 0x00
[00:00:14.374,053] <dbg> bttester: tester_event: service 0x01 opcode 0x85
[00:00:14.375,122] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.278,350] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x13 index 0x00
[00:00:15.278,991] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x13 index 0x00 status 0x00
[00:00:23.793,426] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:24.132,904] <dbg> bttester: tester_event: service 0x01 opcode 0x89
[00:00:24.308,227] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0f index 0x00
[00:00:24.308,349] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:24.308,471] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x0f index 0x00 status 0x00
[00:00:24.333,190] <dbg> bttester_gap: le_disconnected: C0:07:E8:1C:28:DF (public): 0x16
[00:00:24.333,221] <dbg> bttester: tester_event: service 0x01 opcode 0x83
