*** Booting Zephyr OS build zephyr-v3.3.0-4597-gdfa992c596ad ***
[00:00:00.253,265] <dbg> bttester: tester_init: Initializing tester
[00:00:01.399,658] <inf> bt_hci_core: hci_vs_init: HW Platform: Nordic Semiconductor (0x0002)
[00:00:01.399,688] <inf> bt_hci_core: hci_vs_init: HW Variant: nRF53x (0x0003)
[00:00:01.399,719] <inf> bt_hci_core: hci_vs_init: Firmware: Standard Bluetooth controller (0x00) Version 3.3 Build 99
[00:00:01.401,794] <inf> bt_hci_core: bt_dev_show_info: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:01.401,824] <inf> bt_hci_core: bt_dev_show_info: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:01.401,855] <inf> bt_hci_core: bt_dev_show_info: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:08.355,529] <dbg> bttester_bap: connected: Connected: C0:07:E8:79:0D:90 (public)
[00:00:15.957,824] <dbg> bttester_bap: lc3_config: ASE Codec Config: ep 0x20004a4c dir 2
[00:00:15.957,855] <dbg> bttester_bap: print_codec: codec 0x06 cid 0x0000 vid 0x0000 count 4
[00:00:15.957,885] <dbg> bttester_bap: print_codec: data #0: type 0x01 len 1
[00:00:15.957,916] <dbg> bttester_bap: print_codec: 
[00:00:15.957,916] <dbg> bttester_bap: print_codec: data #1: type 0x02 len 1
[00:00:15.957,946] <dbg> bttester_bap: print_codec: 
[00:00:15.957,946] <dbg> bttester_bap: print_codec: data #2: type 0x03 len 4
[00:00:15.957,977] <dbg> bttester_bap: print_codec: 
                                       01 00 00                                         |...              
[00:00:15.958,007] <dbg> bttester_bap: print_codec: data #3: type 0x04 len 2
[00:00:15.958,007] <dbg> bttester_bap: print_codec: 
                                       28                                               |(                
[00:00:15.958,038] <dbg> bttester_bap: print_codec:   Frequency: 16000 Hz
[00:00:15.958,068] <dbg> bttester_bap: print_codec:   Frame Duration: 10000 us
[00:00:15.958,099] <dbg> bttester_bap: print_codec:   Channel allocation: 0x1
[00:00:15.958,099] <dbg> bttester_bap: print_codec:   Octets per frame: 40 (negative means value not pressent)
[00:00:15.958,129] <dbg> bttester_bap: print_codec:   Frames per SDU: 1
[00:00:15.958,129] <dbg> bttester_bap: lc3_config: ASE Codec Config stream 0x2000748c
[00:00:15.958,312] <dbg> bttester_bap: stream_configured: Configured stream 0x2000748c
[00:00:16.103,424] <dbg> bttester_bap: ascs_release: Releasing stream
[00:00:16.103,485] <dbg> bttester_bap: lc3_release: Release: stream 0x2000748c
[00:00:16.103,698] <dbg> bttester_bap: stream_released: Released stream 0x2000748c
[00:00:17.497,711] <dbg> bttester_bap: disconnected: Disconnected: C0:07:E8:79:0D:90 (public) (reason 0x13)
