*** Booting Zephyr OS build v4.1.0-rc2-177-g5efaf9d8c1f0 ***
[00:00:00.253,234] <dbg> bttester: tester_init: Initializing tester
[00:00:06.022,338] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.049,896] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.049,926] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:06.049,957] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 0
[00:00:06.051,757] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:06.051,788] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.051,818] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.051,818] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.097,930] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.097,930] <wrn> bt_ecc: Callback already registered
[00:00:06.520,690] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.520,751] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.532,989] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x08 index 0x00
[00:00:06.616,973] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.617,645] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.647,003] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.647,033] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:12.665,191] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0a index 0x00
[00:00:12.778,533] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:12.778,533] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:12.780,029] <dbg> bttester: tester_event: service 0x01 opcode 0x80
[00:00:12.780,883] <dbg> bttester_bap_unicast: connected: Connected: C0:07:E8:1C:28:DF (public)
[00:00:16.256,347] <dbg> bttester: tester_event: service 0x01 opcode 0x89
[00:00:17.904,327] <dbg> bttester: tester_event: service 0x01 opcode 0x88
[00:00:19.342,742] <dbg> bttester_bap_unicast: lc3_config: ASE Codec Config: ep 0x2000e15c dir 1
[00:00:19.342,773] <dbg> bttester_bap_unicast: print_codec_cfg: codec_cfg 0x06 cid 0x0000 vid 0x0000 count 16
[00:00:19.342,803] <dbg> bttester_bap_unicast: print_cb: data: type 0x01 value_len 1
[00:00:19.342,834] <dbg> bttester_bap_unicast: print_cb: 
                                               03                                               |.                
[00:00:19.342,834] <dbg> bttester_bap_unicast: print_cb: data: type 0x02 value_len 1
[00:00:19.342,864] <dbg> bttester_bap_unicast: print_cb: 
                                               01                                               |.                
[00:00:19.342,895] <dbg> bttester_bap_unicast: print_cb: data: type 0x03 value_len 4
[00:00:19.342,895] <dbg> bttester_bap_unicast: print_cb: 
                                               01 00 00 00                                      |....             
[00:00:19.342,926] <dbg> bttester_bap_unicast: print_cb: data: type 0x04 value_len 2
[00:00:19.342,956] <dbg> bttester_bap_unicast: print_cb: 
                                               28 00                                            |(.               
[00:00:19.342,987] <dbg> bttester_bap_unicast: print_codec_cfg:   Frequency: 16000 Hz
[00:00:19.343,017] <dbg> bttester_bap_unicast: print_codec_cfg:   Frame Duration: 10000 us
[00:00:19.343,017] <dbg> bttester_bap_unicast: print_codec_cfg:   Channel allocation: 0x1
[00:00:19.343,048] <dbg> bttester_bap_unicast: print_codec_cfg:   Octets per frame: 40 (negative means value not pressent)
[00:00:19.343,048] <dbg> bttester_bap_unicast: print_codec_cfg:   Frames per SDU: 1
[00:00:19.343,109] <dbg> bttester_bap_unicast: lc3_config: ASE Codec Config stream 0x200126a8
[00:00:19.343,414] <dbg> bttester_bap_unicast: stream_configured: Configured stream 0x200126a8, ep 1, dir 1
[00:00:19.343,444] <dbg> bttester: tester_event: service 0x0d opcode 0x80
[00:00:19.467,224] <dbg> bttester_bap_unicast: lc3_qos: QoS: stream 0x200126a8 qos 0x2002047c
[00:00:19.467,254] <dbg> bttester_bap_unicast: print_qos: QoS: interval 10000 framing 0x00 phy 0x02 sdu 40 rtn 2 latency 10 pd 25000
[00:00:19.467,651] <dbg> bttester_bap_unicast: stream_qos_set: QoS set stream 0x200126a8
[00:00:19.467,651] <dbg> bttester: tester_event: service 0x0d opcode 0x80
[00:00:19.715,270] <dbg> bttester: cmd_handler: cmd service 0x0d opcode 0x08 index 0x00
[00:00:19.715,301] <dbg> bttester_bap_unicast: btp_ascs_release: 
[00:00:19.715,332] <dbg> bttester_bap_unicast: btp_ascs_release: Releasing stream
[00:00:19.715,362] <dbg> bttester_bap_unicast: lc3_release: Release: stream 0x200126a8
[00:00:19.715,362] <dbg> bttester: tester_rsp_with_index: service 0x0d opcode 0x08 index 0x00 status 0x00
[00:00:19.716,400] <dbg> bttester_bap_unicast: stream_released: Released stream 0x200126a8
[00:00:21.155,029] <dbg> bttester_gap: le_disconnected: C0:07:E8:1C:28:DF (public): 0x13
[00:00:21.155,059] <dbg> bttester: tester_event: service 0x01 opcode 0x83
[00:00:21.156,097] <dbg> bttester_bap_unicast: disconnected: Disconnected: C0:07:E8:1C:28:DF (public) (reason 0x13)
