*** Booting Zephyr OS build v4.0.0-735-geb4f2fb44a0e ***
[00:00:00.253,295] <dbg> bttester: tester_init: Initializing tester
[00:00:06.081,176] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.118,225] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.118,255] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:06.118,286] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:06.120,239] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.120,452] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:06.120,483] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.120,513] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.120,513] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.154,846] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.407,043] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.407,073] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.445,251] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x08 index 0x00
[00:00:06.508,270] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.509,033] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.565,979] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.566,009] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:12.612,609] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0a index 0x00
[00:00:12.823,059] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:12.823,059] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:12.824,554] <dbg> bttester: tester_event: service 0x01 opcode 0x80
[00:00:12.825,408] <dbg> bttester_bap_unicast: connected: Connected: C0:07:E8:1C:28:DF (public)
[00:00:15.576,324] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:16.238,189] <dbg> bttester: tester_event: service 0x01 opcode 0x89
[00:00:17.949,005] <dbg> bttester: tester_event: service 0x01 opcode 0x88
[00:00:20.450,042] <dbg> bttester_bap_unicast: lc3_config: ASE Codec Config: ep 0x2000fc54 dir 1
[00:00:20.450,073] <dbg> bttester_bap_unicast: print_codec_cfg: codec_cfg 0x06 cid 0x0000 vid 0x0000 count 16
[00:00:20.450,103] <dbg> bttester_bap_unicast: print_cb: data: type 0x01 value_len 1
[00:00:20.450,134] <dbg> bttester_bap_unicast: print_cb: 
                                               03                                               |.                
[00:00:20.450,134] <dbg> bttester_bap_unicast: print_cb: data: type 0x02 value_len 1
[00:00:20.450,164] <dbg> bttester_bap_unicast: print_cb: 
                                               01                                               |.                
[00:00:20.450,195] <dbg> bttester_bap_unicast: print_cb: data: type 0x03 value_len 4
[00:00:20.450,195] <dbg> bttester_bap_unicast: print_cb: 
                                               01 00 00 00                                      |....             
[00:00:20.450,225] <dbg> bttester_bap_unicast: print_cb: data: type 0x04 value_len 2
[00:00:20.450,256] <dbg> bttester_bap_unicast: print_cb: 
                                               28 00                                            |(.               
[00:00:20.450,286] <dbg> bttester_bap_unicast: print_codec_cfg:   Frequency: 16000 Hz
[00:00:20.450,286] <dbg> bttester_bap_unicast: print_codec_cfg:   Frame Duration: 10000 us
[00:00:20.450,317] <dbg> bttester_bap_unicast: print_codec_cfg:   Channel allocation: 0x1
[00:00:20.450,317] <dbg> bttester_bap_unicast: print_codec_cfg:   Octets per frame: 40 (negative means value not pressent)
[00:00:20.450,347] <dbg> bttester_bap_unicast: print_codec_cfg:   Frames per SDU: 1
[00:00:20.450,378] <dbg> bttester_bap_unicast: lc3_config: ASE Codec Config stream 0x20006f38
[00:00:20.450,622] <wrn> bt_conn: Timeout discarded. No blocking in syswq.
[00:00:20.450,714] <dbg> bttester_bap_unicast: stream_configured: Configured stream 0x20006f38, ep 1, dir 1
[00:00:20.450,744] <dbg> bttester: tester_event: service 0x0d opcode 0x80
[00:00:20.574,310] <dbg> bttester_bap_unicast: lc3_qos: QoS: stream 0x20006f38 qos 0x2001fd54
[00:00:20.574,340] <dbg> bttester_bap_unicast: print_qos: QoS: interval 10000 framing 0x00 phy 0x02 sdu 40 rtn 2 latency 10 pd
[00:00:20.574,676] <wrn> bt_conn: Timeout discarded. No blocking in syswq.
[00:00:20.574,768] <dbg> bttester_bap_unicast: stream_qos_set: QoS set stream 0x20006f38
[00:00:20.574,768] <dbg> bttester: tester_event: service 0x0d opcode 0x80
[00:00:20.699,249] <wrn> bt_ascs: Unknown ase 0x05
[00:00:40.824,310] <wrn> bt_ascs: Malformed params array
[00:01:00.949,645] <wrn> bt_ascs: Number_of_ASEs parameter value is less than 1
[00:01:22.888,061] <dbg> bttester_gap: le_disconnected: C0:07:E8:1C:28:DF (public): 0x13
[00:01:22.888,122] <dbg> bttester: tester_event: service 0x01 opcode 0x83
[00:01:22.889,160] <dbg> bttester_bap_unicast: disconnected: Disconnected: C0:07:E8:1C:28:DF (public) (reason 0x13)
[00:01:22.889,221] <dbg> bttester_bap_unicast: stream_released: Released stream 0x20006f38
