*** Booting Zephyr OS build v3.4.0-rc2-187-g89cf4cea5649 ***
[00:00:00.253,265] <dbg> bttester: tester_init: Initializing tester
[00:00:01.425,079] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:01.425,109] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:01.425,140] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.4 Build 0
[00:00:01.427,185] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:01.427,215] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:01.427,246] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:08.521,606] <dbg> bttester_bap: connected: Connected: C0:07:E8:2C:B1:C8 (public)
[00:00:16.476,226] <dbg> bttester_bap: lc3_config: ASE Codec Config: ep 0x20004b4c dir 1
[00:00:16.476,257] <dbg> bttester_bap: print_codec: codec 0x06 cid 0x0000 vid 0x0000 count 4
[00:00:16.476,287] <dbg> bttester_bap: print_codec: data #0: type 0x01 len 1
[00:00:16.476,318] <dbg> bttester_bap: print_codec: 
[00:00:16.476,318] <dbg> bttester_bap: print_codec: data #1: type 0x02 len 1
[00:00:16.476,348] <dbg> bttester_bap: print_codec: 
[00:00:16.476,348] <dbg> bttester_bap: print_codec: data #2: type 0x03 len 4
[00:00:16.476,379] <dbg> bttester_bap: print_codec: 
                                       01 00 00                                         |...              
[00:00:16.476,409] <dbg> bttester_bap: print_codec: data #3: type 0x04 len 2
[00:00:16.476,409] <dbg> bttester_bap: print_codec: 
                                       28                                               |(                
[00:00:16.476,440] <dbg> bttester_bap: print_codec:   Frequency: 16000 Hz
[00:00:16.476,470] <dbg> bttester_bap: print_codec:   Frame Duration: 10000 us
[00:00:16.476,470] <dbg> bttester_bap: print_codec:   Channel allocation: 0x1
[00:00:16.476,501] <dbg> bttester_bap: print_codec:   Octets per frame: 40 (negative means value not pressent)
[00:00:16.476,501] <dbg> bttester_bap: print_codec:   Frames per SDU: 1
[00:00:16.476,531] <dbg> bttester_bap: lc3_config: ASE Codec Config stream 0x2000758c
[00:00:16.476,684] <dbg> bttester_bap: stream_configured: Configured stream 0x2000758c
[00:00:16.685,821] <dbg> bttester_bap: lc3_qos: QoS: stream 0x2000758c qos 0x20004bbc
[00:00:16.685,882] <dbg> bttester_bap: print_qos: QoS: interval 10000 framing 0x00 phy 0x02 sdu 40 rtn 2 latency 10 pd 25000
[00:00:16.686,035] <dbg> bttester_bap: stream_qos_set: QoS set stream 0x2000758c
[00:00:16.825,775] <dbg> bttester_bap: lc3_enable: Enable: stream 0x2000758c meta_count 1
[00:00:16.825,897] <dbg> bttester_bap: stream_enabled: Enabled stream 0x2000758c
[00:00:16.965,759] <wrn> bt_ascs: Stop failed: invalid operation for Sink
[00:00:38.386,383] <dbg> bttester_bap: disconnected: Disconnected: C0:07:E8:2C:B1:C8 (public) (reason 0x13)
[00:00:38.387,420] <dbg> bttester_bap: lc3_release: Release: stream 0x2000758c
