*** Booting Zephyr OS build v3.7.0-3588-gd11997dbcf2f ***
[00:00:00.253,234] <dbg> bttester: tester_init: Initializing tester
[00:00:06.071,868] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.071,929] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:06.071,960] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.7 Build 99
[00:00:06.074,035] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:06.074,066] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.074,066] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:13.669,250] <dbg> bttester_bap_broadcast: btp_bap_broadcast_source_setup: 
[00:00:13.669,342] <dbg> bttester_bap_broadcast: setup_broadcast_source: Creating broadcast source with 1 subgroups with 1 str
[00:00:13.677,032] <dbg> bttester_bap_broadcast: btp_bap_broadcast_adv_start: 
[00:00:13.730,072] <dbg> bttester_bap_broadcast: btp_bap_broadcast_source_start: 
[00:00:13.796,386] <dbg> bttester_bap_broadcast: stream_started: Started stream 0x20007348
[00:00:13.796,417] <dbg> bttester_bap_audio_stream: btp_bap_audio_stream_started: Started stream 0x20007348
[00:00:13.804,046] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007348 len 41 seq 2
[00:00:13.825,988] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007348 sent
[00:00:13.849,853] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007348 len 41 seq 8
[00:00:13.870,971] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007348 sent
[00:00:13.895,324] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007348 len 41 seq 14
[00:00:13.915,985] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007348 sent
[00:00:14.008,941] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007348 len 41 seq 29
[00:00:14.028,533] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007348 sent
[00:00:14.031,707] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007348 len 41 seq 32
[00:00:14.050,994] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007348 sent
[00:00:14.062,042] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007348 len 41 seq 36
[00:00:14.080,993] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007348 sent
[00:00:14.205,902] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007348 len 1 seq 55
[00:00:14.213,531] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007348 len 40 seq 56
[00:00:14.223,632] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007348 sent
[00:00:14.234,985] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007348 sent
[00:00:14.296,875] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007348 len 41 seq 67
[00:00:14.313,476] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007348 sent
[00:00:14.365,051] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007348 len 41 seq 76
[00:00:14.380,981] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007348 sent
[00:00:14.463,500] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007348 len 41 seq 89
[00:00:14.485,992] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007348 sent
[00:00:14.524,108] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007348 len 41 seq 97
[00:00:14.545,989] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007348 sent
[00:00:14.577,148] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007348 len 41 seq 104
[00:00:14.598,480] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007348 sent
[00:00:14.637,786] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007348 len 2 seq 112
[00:00:14.645,416] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007348 len 39 seq 113
[00:00:14.658,630] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007348 sent
[00:00:14.665,985] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007348 sent
[00:00:14.736,297] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007348 len 41 seq 125
[00:00:14.748,474] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007348 sent
[00:00:14.766,754] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007348 len 41 seq 129
[00:00:14.785,980] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007348 sent
[00:00:14.819,793] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007348 len 41 seq 136
[00:00:14.838,470] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007348 sent
[00:00:14.925,842] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007348 len 41 seq 150
[00:00:14.943,481] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007348 sent
[00:00:14.994,018] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007348 len 41 seq 159
[00:00:15.010,986] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007348 sent
[00:00:15.062,194] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007348 len 3 seq 168
[00:00:15.069,824] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007348 len 38 seq 169
[00:00:15.078,643] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007348 sent
[00:00:15.085,998] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007348 sent
[00:00:15.130,432] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007348 len 41 seq 177
[00:00:15.145,996] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007348 sent
[00:00:15.213,775] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007348 len 41 seq 188
[00:00:15.235,992] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007348 sent
