*** Booting Zephyr OS build v3.7.0-3180-geb98483769b5 ***
[00:00:00.253,295] <dbg> bttester: tester_init: Initializing tester
[00:00:06.096,679] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.096,740] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:06.096,771] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.7 Build 99
[00:00:06.098,876] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:06.098,907] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.098,907] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:25.635,284] <dbg> bttester_bap_broadcast: btp_bap_broadcast_source_setup: 
[00:00:25.635,375] <dbg> bttester_bap_broadcast: setup_broadcast_source: Creating broadcast source with 1 subgroups with 2 str
[00:00:25.710,998] <dbg> bttester_bap_broadcast: btp_bap_broadcast_adv_start: 
[00:00:25.784,637] <dbg> bttester_bap_broadcast: btp_bap_broadcast_source_start: 
[00:00:25.847,656] <dbg> bttester_bap_broadcast: stream_started: Started stream 0x20007ff8
[00:00:25.847,656] <dbg> bttester_bap_audio_stream: btp_bap_audio_stream_started: Started stream 0x20007ff8
[00:00:25.849,426] <dbg> bttester_bap_broadcast: stream_started: Started stream 0x200081c0
[00:00:25.849,426] <dbg> bttester_bap_audio_stream: btp_bap_audio_stream_started: Started stream 0x200081c0
[00:00:25.857,788] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007ff8 len 30 seq 2
[00:00:25.859,558] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200081c0 len 11 seq 2
[00:00:25.877,990] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007ff8 len 30 seq 4
[00:00:25.879,791] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200081c0 len 11 seq 4
[00:00:25.997,283] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007ff8 sent
[00:00:25.997,314] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007ff8 sent
[00:00:25.997,497] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200081c0 sent
[00:00:25.997,528] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200081c0 sent
[00:00:26.009,002] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007ff8 len 30 seq 17
[00:00:26.010,772] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200081c0 len 11 seq 17
[00:00:26.089,630] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007ff8 len 30 seq 25
[00:00:26.091,400] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200081c0 len 11 seq 25
[00:00:26.111,633] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200081c0 len 30 seq 27
[00:00:26.119,903] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007ff8 len 11 seq 28
[00:00:26.176,483] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200081c0 sent
[00:00:26.176,635] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007ff8 sent
[00:00:26.190,460] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007ff8 len 30 seq 35
[00:00:26.192,291] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200081c0 len 11 seq 35
[00:00:26.197,265] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007ff8 sent
[00:00:26.197,448] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200081c0 sent
[00:00:26.240,875] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007ff8 len 1 seq 40
[00:00:26.242,706] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200081c0 len 30 seq 40
[00:00:26.251,007] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007ff8 len 10 seq 41
[00:00:26.271,240] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007ff8 len 30 seq 43
[00:00:26.273,010] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200081c0 len 11 seq 43
[00:00:26.276,489] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200081c0 sent
[00:00:26.276,763] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007ff8 sent
[00:00:26.297,271] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007ff8 sent
[00:00:26.297,515] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200081c0 sent
[00:00:26.301,513] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007ff8 len 30 seq 46
[00:00:26.303,283] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200081c0 len 11 seq 46
[00:00:26.331,787] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007ff8 len 30 seq 49
[00:00:26.333,557] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200081c0 len 11 seq 49
[00:00:26.347,290] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007ff8 sent
[00:00:26.347,320] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007ff8 sent
[00:00:26.347,686] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200081c0 sent
[00:00:26.362,091] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007ff8 len 30 seq 52
[00:00:26.363,830] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200081c0 len 11 seq 52
[00:00:26.397,277] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007ff8 sent
[00:00:26.397,552] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200081c0 sent
[00:00:26.422,576] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007ff8 len 30 seq 58
[00:00:26.424,316] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200081c0 len 11 seq 58
[00:00:26.447,265] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007ff8 sent
[00:00:26.447,570] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200081c0 sent
[00:00:26.513,275] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007ff8 len 2 seq 67
[00:00:26.515,014] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200081c0 len 30 seq 67
[00:00:26.523,437] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007ff8 len 9 seq 68
[00:00:26.526,489] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200081c0 sent
[00:00:26.526,794] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007ff8 sent
[00:00:26.526,824] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007ff8 sent
[00:00:26.547,271] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007ff8 sent
[00:00:26.547,424] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200081c0 sent
[00:00:26.574,554] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007ff8 len 30 seq 73
[00:00:26.575,500] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200081c0 len 11 seq 73
[00:00:26.626,464] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200081c0 sent
[00:00:26.626,647] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007ff8 sent
[00:00:26.645,172] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007ff8 len 30 seq 80
[00:00:26.646,118] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200081c0 len 11 seq 80
[00:00:26.647,277] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007ff8 sent
[00:00:26.647,430] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200081c0 sent
[00:00:26.697,265] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007ff8 sent
[00:00:26.697,448] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200081c0 sent
[00:00:26.747,283] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007ff8 sent
[00:00:26.747,467] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200081c0 sent
[00:00:26.766,113] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007ff8 len 30 seq 92
[00:00:26.767,028] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200081c0 len 11 seq 92
[00:00:26.816,558] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007ff8 len 30 seq 97
[00:00:26.817,443] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200081c0 len 11 seq 97
[00:00:26.897,338] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007ff8 sent
[00:00:26.897,552] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200081c0 sent
[00:00:26.947,265] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007ff8 sent
[00:00:26.947,448] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200081c0 sent
[00:00:26.947,570] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007ff8 len 30 seq 110
[00:00:26.948,425] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200081c0 len 11 seq 110
[00:00:26.977,844] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007ff8 len 3 seq 113
[00:00:26.978,729] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200081c0 len 30 seq 113
[00:00:26.988,006] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007ff8 len 8 seq 114
[00:00:27.018,280] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007ff8 len 30 seq 117
[00:00:27.019,073] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200081c0 len 11 seq 117
