*** Booting Zephyr OS build v3.7.0-1987-g1540bd7d4930 ***
[00:00:00.253,295] <dbg> bttester: tester_init: Initializing tester
[00:00:06.063,293] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.063,354] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:06.063,385] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.7 Build 99
[00:00:06.065,429] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:06.065,460] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.065,490] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:13.655,090] <dbg> bttester_bap_broadcast: btp_bap_broadcast_source_setup: 
[00:00:13.655,181] <dbg> bttester_bap_broadcast: setup_broadcast_source: Creating broadcast source with 1 subgroups with 2 str
[00:00:13.714,233] <dbg> bttester_bap_broadcast: btp_bap_broadcast_adv_start: 
[00:00:13.736,114] <dbg> bttester_bap_broadcast: btp_bap_broadcast_source_start: 
[00:00:13.862,670] <dbg> bttester_bap_broadcast: stream_started: Started stream 0x20007e08
[00:00:13.862,701] <dbg> bttester_bap_audio_stream: btp_bap_audio_stream_started: Started stream 0x20007e08
[00:00:13.864,440] <dbg> bttester_bap_broadcast: stream_started: Started stream 0x20007fd0
[00:00:13.864,440] <dbg> bttester_bap_audio_stream: btp_bap_audio_stream_started: Started stream 0x20007fd0
[00:00:13.872,833] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007e08 len 80 seq 2
[00:00:13.874,572] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007fd0 len 2 seq 2
[00:00:13.903,137] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007e08 len 41 seq 5
[00:00:14.012,329] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007e08 sent
[00:00:14.012,359] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007e08 sent
[00:00:14.012,512] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007fd0 sent
[00:00:14.045,989] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007fd0 len 41 seq 19
[00:00:14.134,857] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007e08 len 41 seq 28
[00:00:14.179,687] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007fd0 sent
[00:00:14.280,151] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007e08 sent
[00:00:14.285,980] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007e08 len 41 seq 43
[00:00:14.336,395] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007e08 len 1 seq 48
[00:00:14.338,104] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007fd0 len 40 seq 48
[00:00:14.407,012] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007e08 len 41 seq 55
[00:00:14.412,261] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007e08 sent
[00:00:14.507,812] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007e08 len 41 seq 65
[00:00:14.529,815] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007fd0 sent
[00:00:14.529,968] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007e08 sent
[00:00:14.529,998] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007e08 sent
[00:00:14.562,255] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007e08 sent
[00:00:14.610,290] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007fd0 len 41 seq 75
[00:00:14.699,218] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007e08 len 41 seq 84
[00:00:14.729,675] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007fd0 sent
[00:00:14.769,775] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007e08 len 41 seq 91
[00:00:14.812,286] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007e08 sent
[00:00:14.900,787] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007e08 len 2 seq 104
