*** Booting Zephyr OS build v3.7.0-2784-gfd4f3ce246c9 ***
[00:00:00.253,326] <dbg> bttester: tester_init: Initializing tester
[00:00:06.085,296] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.085,357] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:06.085,388] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.7 Build 99
[00:00:06.087,463] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:06.087,493] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.087,524] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:12.696,807] <dbg> bttester_bap_broadcast: btp_bap_broadcast_source_setup: 
[00:00:12.696,868] <dbg> bttester_bap_broadcast: setup_broadcast_source: Creating broadcast source with 1 subgroups with 2 str
[00:00:12.761,810] <dbg> bttester_bap_broadcast: btp_bap_broadcast_adv_start: 
[00:00:12.778,991] <dbg> bttester_bap_broadcast: btp_bap_broadcast_source_start: 
[00:00:12.909,088] <dbg> bttester_bap_broadcast: stream_started: Started stream 0x20007fc8
[00:00:12.909,088] <dbg> bttester_bap_audio_stream: btp_bap_audio_stream_started: Started stream 0x20007fc8
[00:00:12.910,827] <dbg> bttester_bap_broadcast: stream_started: Started stream 0x20008190
[00:00:12.910,858] <dbg> bttester_bap_audio_stream: btp_bap_audio_stream_started: Started stream 0x20008190
[00:00:12.916,717] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007fc8 len 41 seq 2
[00:00:12.926,055] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20008190 len 41 seq 3
[00:00:13.021,209] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007fc8 sent
[00:00:13.021,392] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20008190 sent
[00:00:13.062,377] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20008190 len 41 seq 21
[00:00:13.115,417] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20008190 len 41 seq 28
[00:00:13.171,173] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20008190 sent
[00:00:13.198,730] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20008190 len 41 seq 39
[00:00:13.234,649] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007fc8 len 41 seq 44
[00:00:13.252,258] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20008190 sent
[00:00:13.258,026] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007fc8 len 1 seq 47
[00:00:13.259,338] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20008190 len 40 seq 47
[00:00:13.283,691] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007fc8 sent
[00:00:13.283,874] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20008190 sent
[00:00:13.341,796] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007fc8 len 41 seq 58
[00:00:13.358,703] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007fc8 sent
[00:00:13.358,947] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20008190 sent
[00:00:13.387,298] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007fc8 len 41 seq 64
[00:00:13.439,758] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x20007fc8 sent
[00:00:13.440,338] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x20007fc8 len 41 seq 71
