*** Booting Zephyr OS build v4.1.0-rc2-177-g5efaf9d8c1f0 ***
[00:00:00.253,265] <dbg> bttester: tester_init: Initializing tester
[00:00:05.990,173] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.017,730] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.017,761] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:06.017,791] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 0
[00:00:06.019,592] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:06.019,622] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.019,653] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.019,653] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.044,067] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.044,067] <wrn> bt_ecc: Callback already registered
[00:00:06.460,479] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.460,540] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.472,503] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x08 index 0x00
[00:00:06.495,910] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.496,612] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.530,426] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.530,426] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.593,353] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.593,475] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:14.634,948] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0e index 0x00
[00:00:14.635,833] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x0e index 0x00 status 0x00
[00:00:14.748,016] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:14.748,016] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:14.749,603] <dbg> bttester_bap_unicast: connected: Connected: C0:07:E8:1C:28:DF (public)
[00:00:16.669,891] <dbg> bttester: tester_event: service 0x01 opcode 0x89
[00:00:16.721,649] <dbg> bttester: cmd_handler: cmd service 0x0e opcode 0x02 index 0x00
[00:00:16.721,771] <dbg> bttester: tester_rsp_with_index: service 0x0e opcode 0x02 index 0x00 status 0x00
[00:00:17.269,744] <dbg> bttester_bap_unicast: discover_cb: 
[00:00:17.269,744] <dbg> bttester_bap_unicast: discover_cb: Discover complete
[00:00:17.269,775] <dbg> bttester_bap_unicast: discover_cb: Discover remote ASEs completed without finding any source ASEs
[00:00:17.750,366] <dbg> bttester_bap_unicast: pac_record_cb: 
[00:00:17.750,396] <dbg> bttester_bap_unicast: pac_record_cb: Discovered codec capabilities 0x200204f8
[00:00:17.750,396] <dbg> bttester_bap_unicast: print_codec_cap: codec_cap 0x06 cid 0x0000 vid 0x0000 count 16
[00:00:17.750,427] <dbg> bttester_bap_unicast: print_cb: data: type 0x01 value_len 2
[00:00:17.750,457] <dbg> bttester_bap_unicast: print_cb: 
                                               80 00                                            |..               
[00:00:17.750,488] <dbg> bttester_bap_unicast: print_cb: data: type 0x02 value_len 1
[00:00:17.750,488] <dbg> bttester_bap_unicast: print_cb: 
                                               01                                               |.                
[00:00:17.750,518] <dbg> bttester_bap_unicast: print_cb: data: type 0x03 value_len 1
[00:00:17.750,549] <dbg> bttester_bap_unicast: print_cb: 
                                               01                                               |.                
[00:00:17.750,549] <dbg> bttester_bap_unicast: print_cb: data: type 0x04 value_len 4
[00:00:17.750,610] <dbg> bttester_bap_unicast: print_cb: 
                                               5a 00 5a 00                                      |Z.Z.             
[00:00:17.750,610] <dbg> bttester_bap_unicast: print_cb: meta: type 0x01 value_len 2
[00:00:17.750,640] <dbg> bttester_bap_unicast: print_cb: 
                                               01 00                                            |..               
[00:00:17.750,671] <dbg> bttester: tester_event: service 0x0e opcode 0x81
[00:00:18.949,768] <dbg> bttester_bap_unicast: unicast_client_location_cb: dir 2 loc 1
[00:00:19.669,769] <dbg> bttester_bap_unicast: available_contexts_cb: snk ctx 0 src ctx 7
[00:00:20.389,862] <dbg> bttester_bap_unicast: endpoint_cb: 
[00:00:20.389,892] <dbg> bttester_bap_unicast: endpoint_cb: Discovered ASE 0x2000ecec, id 10, dir 0x02
[00:00:20.389,923] <dbg> bttester: tester_event: service 0x0e opcode 0x82
[00:00:21.589,721] <dbg> bttester_bap_unicast: discover_cb: 
[00:00:21.589,752] <dbg> bttester_bap_unicast: discover_cb: Discover complete
[00:00:21.589,752] <dbg> bttester_bap_unicast: discover_cb: Discover remote ASEs complete: err 0
[00:00:21.589,782] <dbg> bttester: tester_event: service 0x0e opcode 0x80
[00:00:26.668,212] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x0c index 0x00
[00:00:26.668,243] <dbg> bttester_gatt: gatt_buf_add: 1/2048 used
[00:00:26.749,725] <dbg> bttester_gatt: gatt_buf_add: 8/2048 used
[00:00:26.869,720] <dbg> bttester: tester_rsp_full: service 0x02 opcode 0x0c
[00:00:26.941,436] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x0f index 0x00
[00:00:26.941,467] <dbg> bttester_gatt: gatt_buf_add: 1/2048 used
[00:00:27.049,774] <dbg> bttester_gatt: gatt_buf_add: 9/2048 used
[00:00:27.169,738] <dbg> bttester: tester_rsp_full: service 0x02 opcode 0x0f
[00:00:27.229,614] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x10 index 0x00
[00:00:27.229,644] <dbg> bttester_gatt: gatt_buf_add: 1/2048 used
[00:00:27.349,731] <dbg> bttester_gatt: gatt_buf_add: 6/2048 used
[00:00:27.349,761] <dbg> bttester: tester_rsp_full: service 0x02 opcode 0x10
[00:00:27.388,671] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x11 index 0x00
[00:00:27.388,702] <dbg> bttester_gatt: gatt_buf_add: 3/2048 used
[00:00:27.469,726] <dbg> bttester_gatt: gatt_buf_add: 5/2048 used
[00:00:27.469,726] <dbg> bttester: tester_rsp_full: service 0x02 opcode 0x11
[00:00:27.481,048] <dbg> bttester: cmd_handler: cmd service 0x0d opcode 0x02 index 0x00
[00:00:27.481,079] <dbg> bttester_bap_unicast: btp_ascs_configure_codec: 
[00:00:27.481,262] <dbg> bttester: tester_rsp_with_index: service 0x0d opcode 0x02 index 0x00 status 0x00
[00:00:27.649,749] <dbg> bttester_bap_unicast: config_cb: stream 0x200126a8 config operation rsp_code 0 reason 0
[00:00:27.830,383] <dbg> bttester_bap_unicast: stream_configured: Configured stream 0x200126a8, ep 10, dir 2
[00:00:27.830,413] <dbg> bttester: tester_event: service 0x0d opcode 0x80
[00:00:27.913,940] <dbg> bttester: cmd_handler: cmd service 0x0d opcode 0x0a index 0x00
[00:00:27.913,970] <dbg> bttester_bap_unicast: btp_ascs_add_ase_to_cis: 
[00:00:27.914,001] <dbg> bttester_bap_unicast: client_add_ase_to_cis: Added ASE 10 to CIS 0 at CIG 0
[00:00:27.914,001] <dbg> bttester: tester_rsp_with_index: service 0x0d opcode 0x0a index 0x00 status 0x00
[00:00:27.944,610] <dbg> bttester: cmd_handler: cmd service 0x0d opcode 0x0b index 0x00
[00:00:27.944,641] <dbg> bttester_bap_unicast: btp_ascs_preconfigure_qos: 
[00:00:27.944,671] <dbg> bttester: tester_rsp_with_index: service 0x0d opcode 0x0b index 0x00 status 0x00
[00:00:27.989,410] <dbg> bttester: cmd_handler: cmd service 0x0d opcode 0x03 index 0x00
[00:00:27.989,440] <dbg> bttester_bap_unicast: btp_ascs_configure_qos: 
[00:00:27.989,471] <dbg> bttester_bap_unicast: btp_bap_unicast_group_create: Creating unicast group
[00:00:27.990,081] <dbg> bttester_bap_unicast: btp_ascs_configure_qos: QoS configuring streams
[00:00:27.990,203] <dbg> bttester: tester_rsp_with_index: service 0x0d opcode 0x03 index 0x00 status 0x00
[00:00:28.069,732] <dbg> bttester_bap_unicast: qos_cb: stream 0x200126a8 qos operation rsp_code 0 reason 0
[00:00:28.189,819] <dbg> bttester_bap_unicast: stream_qos_set: QoS set stream 0x200126a8
[00:00:28.189,819] <dbg> bttester: tester_event: service 0x0d opcode 0x80
[00:00:29.449,737] <dbg> bttester_bap_unicast: stream_released: Released stream 0x200126a8
[00:00:29.449,798] <dbg> bttester_bap_unicast: stream_released: Deleting unicast group
