*** Booting Zephyr OS build v4.0.0-rc3-87-g1bf22569fc5e ***
[00:00:00.253,356] <dbg> bttester: tester_init: Initializing tester
[00:00:06.046,417] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.083,740] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.083,740] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:06.083,770] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 0
[00:00:06.085,754] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.085,968] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:06.085,968] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.085,998] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.086,029] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.145,538] <dbg> bttester: cmd_handler: cmd service 1 opcode 3 index 0
[00:00:06.409,271] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.409,301] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.447,265] <dbg> bttester: cmd_handler: cmd service 1 opcode 8 index 0
[00:00:06.520,446] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.521,209] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.556,762] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.556,793] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.599,182] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.599,365] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.632,476] <dbg> bttester: cmd_handler: cmd service 1 opcode 33 index 0
[00:00:06.632,537] <dbg> bttester_gap: set_extended_advertising: ext adv settings: 1
[00:00:06.708,557] <dbg> bttester: cmd_handler: cmd service 1 opcode 10 index 0
[00:00:13.646,606] <dbg> bttester: tester_event: service 1 opcode 130
[00:00:13.648,132] <dbg> bttester: tester_event: service 1 opcode 128
[00:00:13.648,986] <dbg> bttester_bap_unicast: connected: Connected: C0:07:E8:1C:28:DF (public)
[00:00:13.794,738] <dbg> bttester: cmd_handler: cmd service 1 opcode 10 index 0
[00:00:17.400,878] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:18.700,256] <dbg> bttester: tester_event: service 1 opcode 137
[00:00:18.899,017] <dbg> bttester: tester_event: service 1 opcode 136
[00:00:31.049,682] <dbg> bttester_bap_unicast: lc3_config: ASE Codec Config: ep 0x2000fc44 dir 1
[00:00:31.049,713] <dbg> bttester_bap_unicast: print_codec_cfg: codec_cfg 0x06 cid 0x0000 vid 0x0000 count 16
[00:00:31.049,743] <dbg> bttester_bap_unicast: print_cb: data: type 0x01 value_len 1
[00:00:31.049,774] <dbg> bttester_bap_unicast: print_cb: 
                                               06                                               |.                
[00:00:31.049,804] <dbg> bttester_bap_unicast: print_cb: data: type 0x02 value_len 1
[00:00:31.049,804] <dbg> bttester_bap_unicast: print_cb: 
                                               00                                               |.                
[00:00:31.049,835] <dbg> bttester_bap_unicast: print_cb: data: type 0x04 value_len 2
[00:00:31.049,865] <dbg> bttester_bap_unicast: print_cb: 
                                               3c 00                                            |<.               
[00:00:31.049,865] <dbg> bttester_bap_unicast: print_cb: data: type 0x03 value_len 4
[00:00:31.049,896] <dbg> bttester_bap_unicast: print_cb: 
                                               02 00 00 00                                      |....             
[00:00:31.049,926] <dbg> bttester_bap_unicast: print_codec_cfg:   Frequency: 32000 Hz
[00:00:31.049,957] <dbg> bttester_bap_unicast: print_codec_cfg:   Channel allocation: 0x2
[00:00:31.049,957] <dbg> bttester_bap_unicast: print_codec_cfg:   Octets per frame: 60 (negative means value not pressent)
[00:00:31.049,987] <dbg> bttester_bap_unicast: print_codec_cfg:   Frames per SDU: 1
[00:00:31.050,018] <dbg> bttester_bap_unicast: lc3_config: ASE Codec Config stream 0x20006f28
[00:00:31.050,262] <wrn> bt_conn: Timeout discarded. No blocking in syswq.
[00:00:31.050,323] <dbg> bttester_bap_unicast: stream_configured: Configured stream 0x20006f28, ep 1, dir 1
[00:00:31.050,354] <dbg> bttester: tester_event: service 13 opcode 128
[00:00:31.348,937] <dbg> bttester_bap_unicast: lc3_qos: QoS: stream 0x20006f28 qos 0x2001fd44
[00:00:31.348,999] <dbg> bttester_bap_unicast: print_qos: QoS: interval 7500 framing 0x00 phy 0x02 sdu 60 rtn 2 latency 8 pd 2
[00:00:31.349,304] <wrn> bt_conn: Timeout discarded. No blocking in syswq.
[00:00:31.349,395] <dbg> bttester_bap_unicast: stream_qos_set: QoS set stream 0x20006f28
[00:00:31.349,395] <dbg> bttester: tester_event: service 13 opcode 128
[00:00:32.849,151] <dbg> bttester: tester_event: service 1 opcode 131
[00:00:32.850,219] <dbg> bttester_bap_unicast: disconnected: Disconnected: C0:07:E8:1C:28:DF (public) (reason 0x13)
[00:00:32.850,311] <dbg> bttester_bap_unicast: stream_released: Released stream 0x20006f28
