*** Booting Zephyr OS build v4.1.0-rc2-177-g5efaf9d8c1f0 ***
[00:00:00.253,265] <dbg> bttester: tester_init: Initializing tester
[00:00:06.021,423] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.048,980] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.049,011] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:06.049,011] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 0
[00:00:06.050,842] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:06.050,842] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.050,872] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.050,903] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.065,216] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.065,246] <wrn> bt_ecc: Callback already registered
[00:00:06.547,729] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.547,790] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.557,678] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x08 index 0x00
[00:00:06.582,458] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.583,160] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.606,536] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.606,567] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.617,095] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.617,248] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.620,635] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x21 index 0x00
[00:00:06.620,666] <dbg> bttester_gap: set_extended_advertising: ext adv settings: 1
[00:00:06.632,751] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0a index 0x00
[00:00:12.800,659] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:12.800,689] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:12.802,185] <dbg> bttester: tester_event: service 0x01 opcode 0x80
[00:00:12.803,039] <dbg> bttester_bap_unicast: connected: Connected: C0:07:E8:1C:28:DF (public)
[00:00:13.659,637] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0a index 0x00
[00:00:16.505,004] <dbg> bttester: tester_event: service 0x01 opcode 0x89
[00:00:17.922,546] <dbg> bttester: tester_event: service 0x01 opcode 0x88
[00:00:23.043,334] <dbg> bttester_bap_unicast: lc3_config: ASE Codec Config: ep 0x2000e15c dir 1
[00:00:23.043,334] <dbg> bttester_bap_unicast: print_codec_cfg: codec_cfg 0x06 cid 0x0000 vid 0x0000 count 16
[00:00:23.043,365] <dbg> bttester_bap_unicast: print_cb: data: type 0x01 value_len 1
[00:00:23.043,395] <dbg> bttester_bap_unicast: print_cb: 
                                               03                                               |.                
[00:00:23.043,426] <dbg> bttester_bap_unicast: print_cb: data: type 0x02 value_len 1
[00:00:23.043,426] <dbg> bttester_bap_unicast: print_cb: 
                                               01                                               |.                
[00:00:23.043,457] <dbg> bttester_bap_unicast: print_cb: data: type 0x04 value_len 2
[00:00:23.043,487] <dbg> bttester_bap_unicast: print_cb: 
                                               28 00                                            |(.               
[00:00:23.043,487] <dbg> bttester_bap_unicast: print_cb: data: type 0x03 value_len 4
[00:00:23.043,518] <dbg> bttester_bap_unicast: print_cb: 
                                               02 00 00 00                                      |....             
[00:00:23.043,548] <dbg> bttester_bap_unicast: print_codec_cfg:   Frequency: 16000 Hz
[00:00:23.043,579] <dbg> bttester_bap_unicast: print_codec_cfg:   Frame Duration: 10000 us
[00:00:23.043,579] <dbg> bttester_bap_unicast: print_codec_cfg:   Channel allocation: 0x2
[00:00:23.043,609] <dbg> bttester_bap_unicast: print_codec_cfg:   Octets per frame: 40 (negative means value not pressent)
[00:00:23.043,609] <dbg> bttester_bap_unicast: print_codec_cfg:   Frames per SDU: 1
[00:00:23.043,670] <dbg> bttester_bap_unicast: lc3_config: ASE Codec Config stream 0x200126a8
