*** Booting Zephyr OS build 4.1.99 ***
[00:00:00.253,265] <dbg> bttester: tester_init: Initializing tester
[00:00:06.001,251] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.027,740] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.027,770] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:06.027,801] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 99
[00:00:06.029,602] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:06.029,632] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.029,632] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.029,663] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.083,862] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x01 index 0xff
[00:00:06.115,722] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.488,098] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.488,159] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.535,400] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x01 index 0xff
[00:00:06.608,947] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x08 index 0x00
[00:00:06.666,992] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.667,602] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.693,176] <dbg> bttester: cmd_handler: cmd service 0x0c opcode 0x01 index 0xff
[00:00:06.771,636] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.771,667] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.804,046] <dbg> bttester: cmd_handler: cmd service 0x0d opcode 0x01 index 0xff
[00:00:06.897,247] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.897,369] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.949,829] <dbg> bttester: cmd_handler: cmd service 0x0e opcode 0x01 index 0xff
[00:00:07.004,058] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x21 index 0x00
[00:00:07.004,089] <dbg> bttester_gap: set_extended_advertising: ext adv settings: 1
[00:00:07.065,551] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0a index 0x00
[00:00:14.003,540] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:14.003,570] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:14.005,065] <dbg> bttester: tester_event: service 0x01 opcode 0x80
[00:00:14.005,920] <dbg> bttester_bap_unicast: connected: Connected: C0:07:E8:1C:28:DF (public)
[00:00:14.085,937] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0a index 0x00
[00:00:19.057,312] <dbg> bttester: tester_event: service 0x01 opcode 0x89
[00:00:31.856,903] <dbg> bttester_bap_unicast: lc3_config: ASE Codec Config: ep 0x2000e27c dir 1
[00:00:31.856,933] <dbg> bttester_bap_unicast: print_codec_cfg: codec_cfg 0x06 cid 0x0000 vid 0x0000 count 16
[00:00:31.856,964] <dbg> bttester_bap_unicast: print_cb: data: type 0x01 value_len 1
[00:00:31.856,994] <dbg> bttester_bap_unicast: print_cb: 
                                               03                                               |.                
[00:00:31.857,025] <dbg> bttester_bap_unicast: print_cb: data: type 0x02 value_len 1
[00:00:31.857,025] <dbg> bttester_bap_unicast: print_cb: 
                                               01                                               |.                
[00:00:31.857,055] <dbg> bttester_bap_unicast: print_cb: data: type 0x04 value_len 2
[00:00:31.857,086] <dbg> bttester_bap_unicast: print_cb: 
                                               28 00                                            |(.               
[00:00:31.857,086] <dbg> bttester_bap_unicast: print_cb: data: type 0x03 value_len 4
[00:00:31.857,116] <dbg> bttester_bap_unicast: print_cb: 
                                               02 00 00 00                                      |....             
[00:00:31.857,147] <dbg> bttester_bap_unicast: print_codec_cfg:   Frequency: 16000 Hz
[00:00:31.857,177] <dbg> bttester_bap_unicast: print_codec_cfg:   Frame Duration: 10000 us
[00:00:31.857,177] <dbg> bttester_bap_unicast: print_codec_cfg:   Channel allocation: 0x2
[00:00:31.857,208] <dbg> bttester_bap_unicast: print_codec_cfg:   Octets per frame: 40 (negative means value not pressent)
[00:00:31.857,208] <dbg> bttester_bap_unicast: print_codec_cfg:   Frames per SDU: 1
[00:00:31.857,238] <dbg> bttester_bap_unicast: lc3_config: ASE Codec Config stream 0x200127cc
[00:00:31.857,513] <dbg> bttester_bap_unicast: lc3_config: ASE Codec Config: ep 0x2000e45c dir 2
[00:00:31.857,513] <dbg> bttester_bap_unicast: print_codec_cfg: codec_cfg 0x06 cid 0x0000 vid 0x0000 count 16
[00:00:31.857,543] <dbg> bttester_bap_unicast: print_cb: data: type 0x01 value_len 1
[00:00:31.857,574] <dbg> bttester_bap_unicast: print_cb: 
                                               03                                               |.                
[00:00:31.857,574] <dbg> bttester_bap_unicast: print_cb: data: type 0x02 value_len 1
[00:00:31.857,604] <dbg> bttester_bap_unicast: print_cb: 
                                               01                                               |.                
[00:00:31.857,635] <dbg> bttester_bap_unicast: print_cb: data: type 0x04 value_len 2
[00:00:31.857,635] <dbg> bttester_bap_unicast: print_cb: 
                                               28 00                                            |(.               
[00:00:31.857,666] <dbg> bttester_bap_unicast: print_cb: data: type 0x03 value_len 4
[00:00:31.857,696] <dbg> bttester_bap_unicast: print_cb: 
                                               01 00 00 00                                      |....             
[00:00:31.857,696] <dbg> bttester_bap_unicast: print_codec_cfg:   Frequency: 16000 Hz
[00:00:31.857,727] <dbg> bttester_bap_unicast: print_codec_cfg:   Frame Duration: 10000 us
[00:00:31.857,727] <dbg> bttester_bap_unicast: print_codec_cfg:   Channel allocation: 0x1
[00:00:31.857,757] <dbg> bttester_bap_unicast: print_codec_cfg:   Octets per frame: 40 (negative means value not pressent)
[00:00:31.857,788] <dbg> bttester_bap_unicast: print_codec_cfg:   Frames per SDU: 1
[00:00:31.857,818] <dbg> bttester_bap_unicast: lc3_config: ASE Codec Config stream 0x20012924
[00:00:31.858,123] <dbg> bttester_bap_unicast: stream_configured: Configured stream 0x200127cc, ep 1, dir 1
[00:00:31.858,154] <dbg> bttester: tester_event: service 0x0d opcode 0x80
[00:00:31.859,619] <dbg> bttester_bap_unicast: stream_configured: Configured stream 0x20012924, ep 3, dir 2
[00:00:31.859,649] <dbg> bttester: tester_event: service 0x0d opcode 0x80
[00:00:32.156,219] <dbg> bttester_bap_unicast: lc3_qos: QoS: stream 0x200127cc qos 0x20020ffc
[00:00:32.156,250] <dbg> bttester_bap_unicast: print_qos: QoS: interval 10000 framing 0x00 phy 0x02 sdu 40 rtn 2 latency 10 pd 25000
[00:00:32.156,311] <dbg> bttester_bap_unicast: lc3_qos: QoS: stream 0x20012924 qos 0x20020ffc
[00:00:32.156,341] <dbg> bttester_bap_unicast: print_qos: QoS: interval 10000 framing 0x00 phy 0x02 sdu 40 rtn 2 latency 10 pd 25000
[00:00:32.156,646] <dbg> bttester_bap_unicast: stream_qos_set: QoS set stream 0x200127cc
[00:00:32.156,646] <dbg> bttester: tester_event: service 0x0d opcode 0x80
[00:00:32.158,142] <dbg> bttester_bap_unicast: stream_qos_set: QoS set stream 0x20012924
[00:00:32.158,142] <dbg> bttester: tester_event: service 0x0d opcode 0x80
[00:00:32.455,688] <dbg> bttester_bap_unicast: lc3_enable: Metadata: stream 0x20012924 meta_len 4
[00:00:32.456,085] <dbg> bttester_bap_unicast: stream_enabled: Enabled stream 0x20012924
[00:00:32.456,115] <dbg> bttester: tester_event: service 0x0d opcode 0x80
[00:00:33.956,817] <dbg> bttester_bap_unicast: stream_connected: Connected stream 0x20012924
[00:00:34.105,499] <dbg> bttester_bap_unicast: lc3_enable: Metadata: stream 0x200127cc meta_len 4
[00:00:34.105,865] <dbg> bttester_bap_unicast: stream_enabled: Enabled stream 0x200127cc
[00:00:34.105,895] <dbg> bttester: tester_event: service 0x0d opcode 0x80
[00:00:34.107,818] <dbg> bttester_bap_unicast: stream_started: Started stream 0x200127cc
[00:00:34.107,818] <dbg> bttester: tester_event: service 0x0d opcode 0x82
[00:00:34.116,790] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 0 and ts 27051419
[00:00:34.126,770] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 1 and ts 27061419
[00:00:34.136,779] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 2 and ts 27071420
[00:00:34.146,759] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 3 and ts 27081419
[00:00:34.156,768] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 4 and ts 27091420
[00:00:34.166,778] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 5 and ts 27101420
[00:00:34.176,788] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 6 and ts 27111420
[00:00:34.186,767] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 7 and ts 27121420
[00:00:34.196,777] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 8 and ts 27131419
[00:00:34.206,787] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 9 and ts 27141421
[00:00:34.216,766] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 10 and ts 27151421
[00:00:34.226,776] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 11 and ts 27161421
[00:00:34.236,785] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 12 and ts 27171421
[00:00:34.246,795] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 13 and ts 27181422
[00:00:34.256,774] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 14 and ts 27191421
[00:00:34.266,784] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 15 and ts 27201422
[00:00:34.276,763] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 16 and ts 27211421
[00:00:34.286,773] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 17 and ts 27221422
[00:00:34.296,783] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 18 and ts 27231422
[00:00:34.306,793] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 19 and ts 27241422
[00:00:34.316,772] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 20 and ts 27251423
[00:00:34.326,782] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 21 and ts 27261422
[00:00:34.336,761] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 22 and ts 27271422
[00:00:34.346,771] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 23 and ts 27281423
[00:00:34.356,781] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 24 and ts 27291423
[00:00:34.366,790] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 25 and ts 27301423
[00:00:34.376,770] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 26 and ts 27311423
[00:00:34.386,779] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 27 and ts 27321423
[00:00:34.396,789] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 28 and ts 27331424
[00:00:34.406,768] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 29 and ts 27341424
[00:00:34.416,778] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 30 and ts 27351425
[00:00:34.426,788] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 31 and ts 27361424
[00:00:34.436,767] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 32 and ts 27371424
[00:00:34.446,777] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 33 and ts 27381424
[00:00:34.456,787] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 34 and ts 27391425
[00:00:34.466,766] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 35 and ts 27401425
[00:00:34.476,776] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 36 and ts 27411425
[00:00:34.486,785] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 37 and ts 27421425
[00:00:34.496,795] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 38 and ts 27431425
[00:00:34.506,774] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 39 and ts 27441425
[00:00:34.516,784] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 40 and ts 27451426
[00:00:34.526,794] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 41 and ts 27461426
[00:00:34.536,804] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 42 and ts 27471426
[00:00:34.546,813] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 43 and ts 27481427
[00:00:34.556,793] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 44 and ts 27491426
[00:00:34.566,772] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 45 and ts 27501426
[00:00:34.576,782] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 46 and ts 27511427
[00:00:34.586,791] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 47 and ts 27521427
[00:00:34.596,771] <dbg> bttester_bap_unicast: stream_recv: Incoming audio on stream 0x200127cc len 0 flags 0x0C seq_num 48 and ts 27531427
