*** Booting Zephyr OS build v3.7.0-5411-g31fea97e05fd ***
[00:00:00.253,295] <dbg> bttester: tester_init: Initializing tester
[00:00:06.117,187] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.117,248] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:06.117,248] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.7 Build 99
[00:00:06.119,232] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.119,445] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:06.119,476] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.119,476] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.426,696] <dbg> bttester_gap: set_io_cap: io_cap: 0
[00:00:16.386,749] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:27.639,251] <dbg> bttester_ccp: tbs_remote_incoming: 
