*** Booting Zephyr OS build v4.0.0-2838-g8316f097ce2a ***
[00:00:00.253,356] <dbg> bttester: tester_init: Initializing tester
[00:00:06.046,997] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.075,012] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.075,042] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:06.075,042] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:06.077,026] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.077,239] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:06.077,270] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.077,270] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.077,301] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.141,601] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.141,662] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.193,969] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.510,559] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x10 index 0x00
[00:00:06.510,589] <dbg> bttester_gap: set_io_cap: io_cap: 0
[00:00:06.510,620] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x10 index 0x00 status 0x00
[00:00:06.562,805] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x08 index 0x00
[00:00:06.632,354] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.632,385] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.744,506] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.744,537] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.808,013] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.808,044] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:12.848,144] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x0e index 0x00
[00:00:12.849,029] <dbg> bttester: tester_rsp_with_index: service 0x01 opcode 0x0e index 0x00 status 0x00
[00:00:12.957,031] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:12.957,031] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:14.220,275] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.818,908] <dbg> bttester: tester_event: service 0x01 opcode 0x89
[00:00:14.994,750] <dbg> bttester: cmd_handler: cmd service 0x14 opcode 0x02 index 0x00
[00:00:14.994,873] <dbg> bttester: tester_rsp_with_index: service 0x14 opcode 0x02 index 0x00 status 0x00
[00:00:15.058,807] <dbg> bt_vcp_vol_ctlr: primary_discover_func: [ATTRIBUTE] handle 0x00D0
[00:00:15.058,807] <dbg> bt_vcp_vol_ctlr: primary_discover_func: Primary discover complete
[00:00:15.178,894] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: [ATTRIBUTE] handle 0x00D3
[00:00:15.178,894] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: Volume state
[00:00:15.179,016] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: Subscribed to handle 0x00D3
[00:00:15.179,046] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: [ATTRIBUTE] handle 0x00D6
[00:00:15.179,077] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: Volume Flags
[00:00:15.179,138] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: Subscribed to handle 0x00D6
[00:00:15.179,138] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: [ATTRIBUTE] handle 0x00D9
[00:00:15.179,168] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: Control Point
[00:00:15.538,818] <dbg> bt_vcp_vol_ctlr: vcs_discover_func: Setup complete for vol_ctlr
[00:00:15.898,864] <dbg> bt_vcp_vol_ctlr: vcs_discover_include_func: [ATTRIBUTE] handle 0x00D1
[00:00:15.898,925] <dbg> bt_vcp_vol_ctlr: vcs_discover_include_func: Include UUID 1843
[00:00:16.738,830] <dbg> bt_vcp_vol_ctlr: vcs_discover_include_func: [ATTRIBUTE] handle 0x00D2
[00:00:16.738,891] <dbg> bt_vcp_vol_ctlr: vcs_discover_include_func: Include UUID 1845
[00:00:17.578,796] <dbg> bt_vcp_vol_ctlr: vcs_discover_include_func: Discover include complete for vol_ctlr: 1 AICS and 1 VOCS
[00:00:17.578,826] <dbg> bttester_vcp: vcp_vol_ctlr_discover_cb: Discovery done with 1 VOCS, 1 AICS
[00:00:17.578,826] <dbg> bttester: tester_event: service 0x14 opcode 0x80
[00:00:19.745,056] <dbg> bttester: cmd_handler: cmd service 0x14 opcode 0x03 index 0x00
[00:00:19.745,086] <dbg> bttester_vcp: vcp_state_read: VCP State read
[00:00:19.745,208] <dbg> bttester: tester_rsp_with_index: service 0x14 opcode 0x03 index 0x00 status 0x00
[00:00:19.858,795] <dbg> bt_vcp_vol_ctlr: vcp_vol_ctlr_read_vol_state_cb: Volume 10, mute 0, counter 5
[00:00:19.858,825] <dbg> bttester: tester_event: service 0x14 opcode 0x81
[00:00:19.860,046] <dbg> bttester_vcp: vcp_vol_ctlr_state_cb: VCP Volume CTLR State callback
[00:00:20.947,448] <dbg> bttester: cmd_handler: cmd service 0x14 opcode 0x07 index 0x00
[00:00:20.947,479] <dbg> bttester_vcp: vcp_ctlr_unmute_vol_down: VCP CTLR Unmute, vol down
[00:00:20.947,601] <dbg> bttester: tester_rsp_with_index: service 0x14 opcode 0x07 index 0x00 status 0x00
[00:00:21.058,807] <dbg> bt_vcp_vol_ctlr: vcp_vol_ctlr_write_vcs_cp_cb: err: 0x80
[00:00:21.178,802] <dbg> bt_vcp_vol_ctlr: internal_read_vol_state_cb: Volume 10, mute 0, counter 5
[00:00:21.298,767] <dbg> bt_vcp_vol_ctlr: vcp_vol_ctlr_write_vcs_cp_cb: err: 0x00
[00:00:21.298,797] <dbg> bt_vcp_vol_ctlr: vcs_cp_notify_app: 0x20014c48 opcode 2 err 0
[00:00:21.298,828] <dbg> bttester: tester_event: service 0x14 opcode 0x83
[00:00:21.299,957] <dbg> bttester_vcp: vcp_vol_ctlr_unmute_vol_down_cb: VCP CTLR Volume down and unmute callback
[00:00:22.499,176] <dbg> bttester_gap: le_disconnected: C0:07:E8:1C:28:DF (public): 0x13
[00:00:22.499,206] <dbg> bttester: tester_event: service 0x01 opcode 0x83
