*** Booting Zephyr OS build zephyr-v3.5.0-500-g467ce8945823 ***
[00:00:00.386,840] <dbg> bttester: tester_init: Initializing tester
[00:00:02.566,040] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:02.566,101] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:02.566,101] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.5 Build 99
[00:00:02.568,298] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:02.568,328] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:02.568,359] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:03.279,510] <dbg> bt_vcp_vol_rend: prepare_aics_inst: AICS P 0x200017b4
[00:00:03.279,602] <dbg> bt_vcp_vol_rend: prepare_aics_inst: AICS P 0x20001554
[00:00:17.681,121] <dbg> bttester_vcp: vocs_description_cb: VOCS desctripion callback (0)
[00:00:17.681,182] <dbg> bttester_vcp: vocs_description_cb: VOCS desctripion callback (0)
