*** Booting Zephyr OS build v4.0.0-1675-g9cebb3ff6339 ***
[00:00:00.250,915] <dbg> bttester: tester_init: Initializing tester
[00:00:05.965,362] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.970,092] <inf> fs_nvs: 8 Sectors of 4096 bytes
[00:00:05.970,092] <inf> fs_nvs: alloc wra: 0, d80
[00:00:05.970,123] <inf> fs_nvs: data wra: 0, 4a0
[00:00:05.974,456] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.974,609] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.974,792] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.974,975] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.975,128] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.975,311] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.975,494] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.975,646] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.975,830] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.976,013] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.976,165] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.976,348] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.976,501] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.976,623] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.976,654] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.976,684] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.976,776] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.976,959] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,203] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,294] <inf> bt_hci_core: No ID address. App must call settings_load()
[00:00:05.977,325] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.018,310] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.018,341] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.056,671] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.056,701] <wrn> bttester_mesh: Loading default comp data
[00:00:06.056,945] <wrn> bt_mesh_access: Unused space in relation list: 3
[00:00:06.497,497] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.522,186] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.522,216] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.569,854] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:12.659,271] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:12.659,301] <dbg> bttester_mesh: config_prov: 
[00:00:12.659,332] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:12.691,436] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:12.691,467] <dbg> bttester_mesh: start: 
Loading stored settings
[00:00:12.692,932] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.693,115] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.693,298] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:12.693,328] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:12.693,389] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:12.697,814] <inf> bt_mesh_provisionee: Device UUID: 1aa93d53-d391-4f2b-b899-8c121cdf8ea2
[00:00:12.697,937] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.698,089] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.698,730] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.698,913] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.699,188] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.699,493] <inf> bt_mesh_provisionee: Device UUID: 1aa93d53-d391-4f2b-b899-8c121cdf8ea2
[00:00:12.699,493] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:12.700,347] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.700,958] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.701,171] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.701,354] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.701,660] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.701,904] <wrn> net_buf: Timeout discarded. No blocking in syswq
