*** Booting Zephyr OS build v4.0.0-2079-g85e83038613a ***
[00:00:00.250,976] <dbg> bttester: tester_init: Initializing tester
[00:00:05.979,187] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.985,290] <inf> fs_nvs: 8 Sectors of 4096 bytes
[00:00:05.985,321] <inf> fs_nvs: alloc wra: 1, fc8
[00:00:05.985,321] <inf> fs_nvs: data wra: 1, 40
[00:00:05.990,417] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.990,600] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.990,783] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.990,966] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.991,119] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.991,271] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.991,455] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.991,638] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.991,821] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.991,973] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.992,156] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.992,309] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.992,492] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.992,614] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.992,645] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.992,675] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.992,767] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.992,950] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.993,194] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.993,286] <inf> bt_hci_core: No ID address. App must call settings_load()
[00:00:05.993,316] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.022,064] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.022,094] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.048,522] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.048,553] <wrn> bttester_mesh: Loading default comp data
[00:00:06.048,828] <wrn> bt_mesh_access: Unused space in relation list: 3
[00:00:06.508,422] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.527,343] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.527,374] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.571,105] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:12.687,896] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:12.687,927] <dbg> bttester_mesh: config_prov: 
[00:00:12.687,957] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:12.730,438] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:12.730,499] <dbg> bttester_mesh: start: 
Loading stored settings
[00:00:12.733,764] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.733,917] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.734,130] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:12.734,161] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:12.734,222] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:12.739,105] <inf> bt_mesh_provisionee: Device UUID: e368ccb8-14b2-42a3-966f-221fdc42d34f
[00:00:12.739,227] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.739,410] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.740,112] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.740,295] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.740,570] <wrn> net_buf: Timeout discarded. No blocking in syswq
