*** Booting Zephyr OS build v4.0.0-1675-g9cebb3ff6339 ***
[00:00:00.250,946] <dbg> bttester: tester_init: Initializing tester
[00:00:06.469,970] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.475,280] <inf> fs_nvs: 8 Sectors of 4096 bytes
[00:00:06.475,280] <inf> fs_nvs: alloc wra: 0, e60
[00:00:06.475,311] <inf> fs_nvs: data wra: 0, 2e0
[00:00:06.479,705] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.479,858] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.480,041] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.480,224] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.480,377] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.480,529] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.480,712] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.480,865] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.481,048] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.481,231] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.481,384] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.481,567] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.481,719] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.481,842] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.481,872] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:06.481,903] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:06.481,994] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.482,177] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.482,421] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.482,513] <inf> bt_hci_core: No ID address. App must call settings_load()
[00:00:06.482,543] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.518,280] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.518,280] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.576,141] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.576,171] <wrn> bttester_mesh: Loading default comp data
[00:00:06.576,385] <wrn> bt_mesh_access: Unused space in relation list: 4
[00:00:07.006,439] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:07.065,216] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:07.065,246] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:07.130,004] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:12.542,053] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:12.542,083] <dbg> bttester_mesh: config_prov: 
[00:00:12.542,114] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:12.564,880] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:12.564,941] <dbg> bttester_mesh: start: 
Loading stored settings
[00:00:12.566,070] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.566,223] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.566,436] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:12.566,467] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:12.566,497] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:12.570,892] <inf> bt_mesh_provisionee: Device UUID: 1aa93d53-d391-4f2b-b899-8c121cdf8ea2
[00:00:12.571,014] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.571,166] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.571,777] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.571,960] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.572,235] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.572,509] <inf> bt_mesh_provisionee: Device UUID: 1aa93d53-d391-4f2b-b899-8c121cdf8ea2
[00:00:12.572,540] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:12.573,333] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.573,913] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.574,127] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.574,310] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.574,615] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.574,859] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.575,134] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.575,317] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.575,531] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.575,927] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.576,141] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.628,936] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.629,119] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.629,364] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.640,930] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:12.640,930] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:12.683,685] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.683,868] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.684,112] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.733,764] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.733,917] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.734,130] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.734,375] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.734,985] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.735,260] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.735,534] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.735,717] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.735,900] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.736,083] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.736,389] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.760,711] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.760,833] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.761,077] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.761,260] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.761,474] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.761,932] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.762,176] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.811,279] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.811,431] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.811,645] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.811,828] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.812,133] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.855,224] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.855,346] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.855,621] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.855,804] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.855,987] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.856,475] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.856,719] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.860,534] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.860,717] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.860,900] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.861,114] <wrn> net_buf: Timeout discarded. No blocking in syswq
