*** Booting Zephyr OS build v4.0.0-2578-g6b65d60d49a0 ***
[00:00:00.250,946] <dbg> bttester: tester_init: Initializing tester
[00:00:05.999,114] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.004,455] <inf> fs_nvs: 8 Sectors of 4096 bytes
[00:00:06.004,486] <inf> fs_nvs: alloc wra: 0, e20
[00:00:06.004,486] <inf> fs_nvs: data wra: 0, 360
[00:00:06.008,789] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.008,972] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.009,155] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.009,338] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.009,490] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.009,643] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.009,826] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.010,009] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.010,192] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.010,345] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.010,528] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.010,711] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.010,864] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.010,986] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.011,016] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:06.011,047] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:06.011,138] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,322] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,566] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,657] <inf> bt_hci_core: No ID address. App must call settings_load()
[00:00:06.011,688] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.032,867] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.032,867] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.039,398] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.039,428] <wrn> bttester_mesh: Loading default comp data
[00:00:06.039,642] <wrn> bt_mesh_access: Unused space in relation list: 4
[00:00:06.463,562] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.490,844] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.490,844] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.523,925] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:11.646,179] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:11.646,240] <dbg> bttester_mesh: config_prov: 
[00:00:11.646,240] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:11.668,762] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:11.668,823] <dbg> bttester_mesh: start: 
Loading stored settings
[00:00:11.670,074] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.670,227] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.670,440] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:11.670,471] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:11.670,532] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:11.674,896] <inf> bt_mesh_provisionee: Device UUID: 4f76ee81-45a3-462b-bee9-ecb45c08f6c3
[00:00:11.675,018] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.675,170] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.675,933] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.676,116] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.676,391] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.676,696] <inf> bt_mesh_provisionee: Device UUID: 4f76ee81-45a3-462b-bee9-ecb45c08f6c3
[00:00:11.676,696] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:11.677,429] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.678,009] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.678,192] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.678,375] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.678,680] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.678,955] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.679,229] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.679,412] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.679,626] <wrn> net_buf: Timeout discarded. No blocking in syswq
