*** Booting Zephyr OS build v4.0.0-rc3-87-g1bf22569fc5e ***
[00:00:00.250,946] <dbg> bttester: tester_init: Initializing tester
[00:00:05.970,123] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:05.973,968] <inf> fs_nvs: 8 Sectors of 4096 bytes
[00:00:05.973,968] <inf> fs_nvs: alloc wra: 4, 8a8
[00:00:05.973,968] <inf> fs_nvs: data wra: 4, 78c
[00:00:05.978,027] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.978,179] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.978,363] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.978,546] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.978,698] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.978,881] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.979,064] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.979,217] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.979,400] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.979,583] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.979,736] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.979,919] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.980,072] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.980,194] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.980,224] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.980,255] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 0
[00:00:05.980,346] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.980,529] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.980,773] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.980,865] <inf> bt_hci_core: No ID address. App must call settings_load()
[00:00:05.980,895] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.032,867] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.032,897] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.102,630] <dbg> bttester: cmd_handler: cmd service 4 opcode 4 index 0
[00:00:06.102,661] <wrn> bttester_mesh: Loading default comp data
[00:00:06.102,874] <wrn> bt_mesh_access: Unused space in relation list: 4
[00:00:06.379,028] <dbg> bttester: tester_rsp_with_index: service 4 opcode 4 index 0 status 0
[00:00:06.450,531] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.450,561] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.495,056] <dbg> bttester: cmd_handler: cmd service 1 opcode 3 index 0
[00:00:11.983,428] <dbg> bttester: cmd_handler: cmd service 4 opcode 2 index 0
[00:00:11.983,489] <dbg> bttester_mesh: config_prov: 
[00:00:11.983,489] <dbg> bttester: tester_rsp_with_index: service 4 opcode 2 index 0 status 0
[00:00:12.030,120] <dbg> bttester: cmd_handler: cmd service 4 opcode 120 index 0
[00:00:12.030,181] <dbg> bttester_mesh: start: 
Loading stored settings
[00:00:12.067,474] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.067,626] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.067,840] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:12.067,871] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:12.067,932] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:12.079,040] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.079,223] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.079,986] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.080,322] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.080,505] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.080,810] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.080,993] <dbg> bttester_mesh: prov_complete: net_idx 0x0000 addr 0x0002
[00:00:12.081,024] <dbg> bttester: tester_event: service 4 opcode 131
[00:00:12.081,481] <dbg> bttester: tester_rsp_with_index: service 4 opcode 120 index 0 status 0
[00:00:12.082,122] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.082,366] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.090,148] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.090,301] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.090,515] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.090,698] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.091,003] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.208,648] <dbg> bttester: cmd_handler: cmd service 4 opcode 5 index 0
[00:00:12.208,679] <dbg> bttester_mesh: reset: 
[00:00:12.208,892] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.664,276] <dbg> bttester_mesh: prov_reset: 
[00:00:12.664,367] <inf> bt_mesh_provisionee: Device UUID: 952d734c-1f88-44a1-9848-770a5b2610b1
[00:00:12.664,520] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.664,703] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.664,978] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.665,283] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.665,618] <inf> bt_mesh_provisionee: Device UUID: 952d734c-1f88-44a1-9848-770a5b2610b1
[00:00:12.665,649] <dbg> bttester: tester_rsp_with_index: service 4 opcode 5 index 0 status 0
[00:00:12.666,931] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.667,114] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.667,327] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.667,510] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.667,785] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.668,060] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.668,304] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.668,487] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.668,701] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.669,158] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.669,403] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.803,985] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.804,168] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.804,412] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.857,666] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.857,818] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.858,032] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.858,215] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.858,489] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.667,480] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.667,602] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.667,877] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.668,060] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.668,273] <wrn> net_buf: Timeout discarded. No blocking in syswq
