*** Booting Zephyr OS build 4.1.99 ***
WARNING: Using a potentially insecure PSA ITS encryption key provider.
[00:00:00.250,915] <wrn> secure_storage: Using a potentially insecure PSA ITS encryption key provider.
[00:00:00.257,019] <inf> fs_nvs: 8 Sectors of 4096 bytes
[00:00:00.257,019] <inf> fs_nvs: alloc wra: 3, ec8
[00:00:00.257,049] <inf> fs_nvs: data wra: 3, 234
[00:00:00.257,232] <dbg> bttester: tester_init: Initializing tester
[00:00:05.958,282] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.964,447] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.964,477] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.964,508] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 99
[00:00:05.964,904] <inf> bt_hci_core: No ID address. App must call settings_load()
[00:00:05.964,935] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.023,284] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x01 index 0xff
[00:00:06.064,605] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.064,636] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.180,114] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x01 index 0xff
[00:00:06.237,670] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.237,670] <wrn> bttester_mesh: Loading default comp data
[00:00:06.237,915] <wrn> bt_mesh_access: Unused space in relation list: 3
[00:00:06.672,180] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.727,783] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.727,813] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.764,801] <dbg> bttester: cmd_handler: cmd service 0x05 opcode 0x01 index 0xff
[00:00:06.764,831] <dbg> bttester: tester_rsp_with_index: service 0x05 opcode 0x01 index 0xff status 0x02
[00:00:06.807,373] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:08.920,043] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:08.920,074] <dbg> bttester_mesh: config_prov: 
[00:00:08.920,104] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:08.941,558] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:08.941,589] <dbg> bttester_mesh: start: 
[00:00:08.941,619] <inf> bttester_mesh: Loading stored setting

[00:00:08.951,904] <inf> bt_hci_core: HCI transport: Controller
[00:00:08.951,995] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:08.952,026] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:08.952,056] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:08.958,892] <inf> bt_mesh_provisionee: Device UUID: 03793c15-cfa0-45e3-84cc-b0ef39cb31b1
[00:00:08.960,571] <inf> bt_mesh_provisionee: Device UUID: 03793c15-cfa0-45e3-84cc-b0ef39cb31b1
[00:00:08.960,601] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:09.008,026] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:09.008,026] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:10.894,165] <inf> bt_mesh_main: Primary Element: 0x0002
[00:00:10.903,320] <err> bt_mesh_main: Failed to import device key
[00:00:10.903,320] <err> bt_mesh_provisionee: Failed to provision (err -120)
[00:00:12.650,848] <dbg> bttester_mesh: link_close: bearer 0x01
[00:00:12.650,878] <dbg> bttester: tester_event: service 0x04 opcode 0x85
