*** Booting Zephyr OS build v4.0.0-2838-g8316f097ce2a ***
[00:00:00.250,915] <dbg> bttester: tester_init: Initializing tester
[00:00:05.974,334] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.979,339] <inf> fs_nvs: 8 Sectors of 4096 bytes
[00:00:05.979,339] <inf> fs_nvs: alloc wra: 1, d58
[00:00:05.979,339] <inf> fs_nvs: data wra: 1, 520
[00:00:05.984,558] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.984,710] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.984,893] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.985,076] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.985,229] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.985,412] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.985,595] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.985,748] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.985,931] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.986,083] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.986,267] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.986,450] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.986,602] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.986,724] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.986,755] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.986,785] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.986,877] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.987,060] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.987,304] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.987,396] <inf> bt_hci_core: No ID address. App must call settings_load()
[00:00:05.987,426] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.037,841] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.037,872] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.076,538] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.076,568] <wrn> bttester_mesh: Loading default comp data
[00:00:06.076,782] <wrn> bt_mesh_access: Unused space in relation list: 3
[00:00:06.502,593] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.547,088] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.547,119] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.621,032] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:12.747,070] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:12.747,100] <dbg> bttester_mesh: config_prov: 
[00:00:12.747,131] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:12.764,495] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:12.764,526] <dbg> bttester_mesh: start: 
Loading stored settings
[00:00:12.769,104] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.769,287] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.769,500] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:12.769,531] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:12.769,561] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:12.774,780] <inf> bt_mesh_provisionee: Device UUID: 48ab71da-8e41-4ab8-a1ce-834b9a84c315
[00:00:12.774,902] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.775,054] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.775,756] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.775,939] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.776,214] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.776,489] <inf> bt_mesh_provisionee: Device UUID: 48ab71da-8e41-4ab8-a1ce-834b9a84c315
[00:00:12.776,519] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:12.777,252] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.777,801] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.778,015] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.778,198] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.778,503] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.778,747] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.779,022] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.779,235] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.779,418] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.779,785] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.780,029] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.830,413] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.830,627] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.830,871] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.845,916] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:12.845,916] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:12.883,331] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.883,483] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.883,697] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.883,880] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.884,155] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.894,012] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.894,134] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.894,378] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.894,561] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.894,775] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.895,111] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.895,355] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.945,861] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.946,014] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.946,228] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.946,441] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.946,716] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.974,822] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.974,945] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.975,189] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.975,372] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.975,585] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.976,043] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.976,287] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.028,900] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.029,052] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.029,266] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.029,479] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.029,754] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.060,852] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.060,974] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.061,248] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.061,431] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.061,645] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.062,072] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.062,316] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.066,162] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.066,314] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.066,528] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.066,711] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.067,016] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.252,532] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.252,655] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.253,173] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.253,326] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.253,540] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.253,997] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.254,241] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.302,917] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.303,070] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.303,283] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.303,497] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.303,771] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.597,656] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.597,778] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.598,327] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.598,510] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.598,693] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.599,182] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.599,426] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.655,914] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.656,066] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.656,280] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.656,494] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.656,768] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.698,883] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.699,005] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.699,249] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.699,432] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.699,645] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.699,981] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.700,225] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.704,254] <wrn> net_buf: Timeout discarded. No blocking in syswq
