*** Booting Zephyr OS build v4.0.0-2762-g99a503e6613b ***
[00:00:00.250,946] <dbg> bttester: tester_init: Initializing tester
[00:00:05.959,350] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.963,165] <inf> fs_nvs: 8 Sectors of 4096 bytes
[00:00:05.963,195] <inf> fs_nvs: alloc wra: 1, c28
[00:00:05.963,195] <inf> fs_nvs: data wra: 1, 780
[00:00:05.968,566] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.968,750] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.968,902] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,085] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,238] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,421] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,604] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,757] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,940] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,123] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,275] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,458] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,611] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.970,733] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.970,764] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.970,794] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.970,886] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.971,069] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.971,313] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.971,405] <inf> bt_hci_core: No ID address. App must call settings_load()
[00:00:05.971,435] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.011,901] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.011,901] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.022,338] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.022,369] <wrn> bttester_mesh: Loading default comp data
[00:00:06.022,583] <wrn> bt_mesh_access: Unused space in relation list: 3
[00:00:06.453,277] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.483,184] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.483,215] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.551,361] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:08.624,176] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:08.624,206] <dbg> bttester_mesh: config_prov: 
[00:00:08.624,237] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:08.634,643] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:08.634,674] <dbg> bttester_mesh: start: 
Loading stored settings
[00:00:08.639,770] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.639,923] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.640,136] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:08.640,167] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:08.640,228] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:08.645,568] <inf> bt_mesh_provisionee: Device UUID: e69c22af-d260-476a-8101-326b274ca3e6
[00:00:08.645,690] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.645,874] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.646,484] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.646,667] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.646,942] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.647,216] <inf> bt_mesh_provisionee: Device UUID: e69c22af-d260-476a-8101-326b274ca3e6
