*** Booting Zephyr OS build v4.2.0-694-g5c7c3980eb06 ***
[00:00:00.250,732] <dbg> bttester: tester_init: Initializing tester
[00:00:05.922,332] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.928,497] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.928,527] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.928,558] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.2 Build 99
[00:00:05.929,443] <inf> bt_hci_core: HCI transport: Controller
[00:00:05.929,565] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.929,595] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.929,626] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.929,656] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.955,474] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x01 index 0xff
[00:00:06.059,082] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.059,112] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.081,878] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x01 index 0xff
[00:00:06.113,922] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.113,952] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.147,064] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x01 index 0xff
[00:00:06.199,096] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.199,127] <wrn> bttester_mesh: Loading default comp data
[00:00:06.199,401] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.646,392] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.689,178] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:08.998,718] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:08.998,748] <dbg> bttester_mesh: config_prov: 
[00:00:08.998,779] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:09.020,263] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:09.020,324] <dbg> bttester_mesh: start: 
[00:00:09.020,416] <inf> bt_mesh_provisionee: Device UUID: caf8463d-943c-4229-a179-854886fc52e7
