*** Booting Zephyr OS build 4.1.99 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.921,997] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.928,131] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.928,161] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.928,192] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 99
[00:00:05.929,077] <inf> bt_hci_core: HCI transport: Controller
[00:00:05.929,168] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.929,199] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.929,229] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.929,260] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.953,826] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x01 index 0xff
[00:00:06.130,493] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.130,523] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.204,803] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x01 index 0xff
[00:00:06.262,207] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.262,237] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.361,633] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x01 index 0xff
[00:00:06.481,658] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.481,689] <wrn> bttester_mesh: Loading default comp data
[00:00:06.481,933] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.910,339] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.945,343] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:13.074,310] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:13.074,340] <dbg> bttester_mesh: config_prov: 
[00:00:13.074,371] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:13.115,570] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:13.115,631] <dbg> bttester_mesh: start: 
[00:00:13.115,722] <inf> bt_mesh_provisionee: Device UUID: 650a9189-7bc1-4902-9027-d7b6e72c9390
[00:00:13.117,492] <inf> bt_mesh_provisionee: Device UUID: 650a9189-7bc1-4902-9027-d7b6e72c9390
[00:00:13.117,492] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:13.158,508] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x03 index 0x00
[00:00:13.158,538] <dbg> bttester_mesh: provision_node: 
[00:00:13.158,599] <inf> bt_mesh_main: Primary Element: 0x0003
[00:00:13.165,557] <dbg> bttester_mesh: prov_complete: net_idx 0x0000 addr 0x0003
[00:00:13.165,557] <dbg> bttester: tester_event: service 0x04 opcode 0x83
[00:00:13.165,954] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x03 index 0x00 status 0x00
[00:00:14.330,352] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x4a index 0x00
[00:00:14.330,413] <dbg> bttester_mesh: provision_adv: 
[00:00:14.330,505] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x4a index 0x00 status 0x00
[00:00:14.917,480] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:14.917,480] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:17.487,426] <dbg> bttester_mesh: prov_node_added: net_idx 0x0000 addr 0x0001 num_elem 1
[00:00:17.487,457] <dbg> bttester: tester_event: service 0x04 opcode 0x8e
[00:00:17.926,727] <dbg> bttester_mesh: link_close: bearer 0x01
[00:00:17.926,727] <dbg> bttester: tester_event: service 0x04 opcode 0x85
[00:00:20.372,894] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x14 index 0x00
[00:00:20.372,955] <dbg> bttester_mesh: composition_data_get: 
[00:00:20.563,690] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0003 payload_len 16
[00:00:20.563,690] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:20.602,325] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0003 payload_len 16
[00:00:20.602,355] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:20.624,786] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0003 payload_len 14
[00:00:20.624,786] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:20.628,143] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0003 payload_len 26
[00:00:20.628,173] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:20.848,785] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x14 index 0x00
[00:00:20.848,846] <dbg> bttester_mesh: composition_data_get: 
[00:00:21.004,882] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0003 payload_len 16
[00:00:21.004,882] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:21.083,526] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0003 payload_len 16
[00:00:21.083,526] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:21.121,429] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0003 payload_len 16
[00:00:21.121,459] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:21.143,341] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0003 payload_len 16
[00:00:21.143,371] <dbg> bttester: tester_event: service 0x04 opcode 0x86
