*** Booting Zephyr OS build 4.1.99 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.890,075] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.896,087] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.896,118] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.896,148] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 99
[00:00:05.897,094] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.897,155] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.897,186] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.897,186] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.959,320] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.959,350] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.996,490] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.996,490] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.035,064] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.035,064] <wrn> bttester_mesh: Loading default comp data
[00:00:06.035,369] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.494,598] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.529,144] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:13.005,798] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:13.005,828] <dbg> bttester_mesh: config_prov: 
[00:00:13.005,828] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:13.037,933] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:13.037,963] <dbg> bttester_mesh: start: 
[00:00:13.038,085] <inf> bt_mesh_provisionee: Device UUID: f6f81cfa-6b19-46cd-aa6d-4b8dcad40d21
[00:00:13.039,794] <inf> bt_mesh_provisionee: Device UUID: f6f81cfa-6b19-46cd-aa6d-4b8dcad40d21
[00:00:13.039,825] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:13.075,469] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x03 index 0x00
[00:00:13.075,469] <dbg> bttester_mesh: provision_node: 
[00:00:13.075,531] <inf> bt_mesh_main: Primary Element: 0x0003
[00:00:13.084,625] <dbg> bttester_mesh: prov_complete: net_idx 0x0000 addr 0x0003
[00:00:13.084,655] <dbg> bttester: tester_event: service 0x04 opcode 0x83
[00:00:13.085,052] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x03 index 0x00 status 0x00
[00:00:14.165,985] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x4a index 0x00
[00:00:14.166,046] <dbg> bttester_mesh: provision_adv: 
[00:00:14.166,137] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x4a index 0x00 status 0x00
[00:00:14.786,346] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:14.786,376] <dbg> bttester: tester_event: service 0x04 opcode 0x84
