*** Booting Zephyr OS build 4.1.99 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.923,278] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.929,534] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.929,565] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.929,595] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 99
[00:00:05.930,541] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.930,572] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.930,603] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.930,633] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.976,501] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.976,531] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.055,023] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.055,053] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.092,132] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.092,163] <wrn> bttester_mesh: Loading default comp data
[00:00:06.092,407] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.519,317] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.549,011] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:12.950,042] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:12.950,073] <dbg> bttester_mesh: config_prov: 
[00:00:12.950,103] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:12.987,396] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:12.987,426] <dbg> bttester_mesh: start: 
[00:00:12.987,548] <inf> bt_mesh_provisionee: Device UUID: 35d2fa06-8cd6-4f96-a7af-2a6aea232d4d
[00:00:12.989,166] <inf> bt_mesh_provisionee: Device UUID: 35d2fa06-8cd6-4f96-a7af-2a6aea232d4d
[00:00:12.989,166] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:13.029,052] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x03 index 0x00
[00:00:13.029,083] <dbg> bttester_mesh: provision_node: 
[00:00:13.029,113] <inf> bt_mesh_main: Primary Element: 0x0003
[00:00:13.036,071] <dbg> bttester_mesh: prov_complete: net_idx 0x0000 addr 0x0003
[00:00:13.036,071] <dbg> bttester: tester_event: service 0x04 opcode 0x83
