*** Booting Zephyr OS build 4.1.99 ***
[00:00:00.390,106] <dbg> bttester: tester_init: Initializing tester
[00:00:37.625,152] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:37.631,286] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:37.631,317] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:37.631,347] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 99
[00:00:37.632,232] <inf> bt_hci_core: HCI transport: Controller
[00:00:37.632,354] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:37.632,385] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:37.632,415] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:37.632,446] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:37.694,335] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x01 index 0xff
[00:00:37.767,547] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:37.767,578] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:37.840,637] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x01 index 0xff
[00:00:37.913,604] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:37.913,635] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:37.961,456] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x01 index 0xff
[00:00:38.014,526] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:38.014,556] <wrn> bttester_mesh: Loading default comp data
[00:00:38.014,801] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:38.446,350] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:38.486,328] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:46.574,920] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:46.574,951] <dbg> bttester_mesh: config_prov: 
[00:00:46.574,981] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:46.617,492] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
