*** Booting Zephyr OS build v4.0.0-2079-g85e83038613a ***
[00:00:00.391,876] <dbg> bttester: tester_init: Initializing tester
[00:00:35.825,256] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:35.829,467] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.829,620] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.829,803] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.829,986] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.830,139] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.830,322] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.830,474] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.830,627] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.830,780] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.830,963] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.831,146] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.831,329] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.831,481] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.831,604] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:35.831,634] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:35.831,665] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:35.831,756] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.831,939] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.832,092] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.832,275] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.832,458] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.832,672] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.832,885] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:35.832,916] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:35.832,946] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:35.832,977] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:35.858,947] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:35.858,978] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:35.901,245] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:35.901,245] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:35.963,226] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:35.963,226] <wrn> bttester_mesh: Loading default comp data
[00:00:35.963,531] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:36.418,060] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:36.465,850] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:55.856,170] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:55.856,201] <dbg> bttester_mesh: config_prov: 
[00:00:55.856,231] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:55.904,144] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:55.904,205] <dbg> bttester_mesh: start: 
[00:00:55.904,296] <inf> bt_mesh_provisionee: Device UUID: e368ccb8-14b2-42a3-966f-221fdc42d34f
[00:00:55.904,449] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:55.904,602] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:55.905,212] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:55.905,395] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:55.905,700] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:55.906,005] <inf> bt_mesh_provisionee: Device UUID: e368ccb8-14b2-42a3-966f-221fdc42d34f
[00:00:55.906,036] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:55.906,951] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:55.907,623] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:55.907,806] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:55.907,989] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:55.908,325] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:55.908,569] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:55.908,843] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:55.909,027] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:55.909,484] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:55.909,698] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:55.909,942] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:55.934,356] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:55.934,387] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:55.968,292] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:55.968,536] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:55.968,780] <wrn> net_buf: Timeout discarded. No blocking in syswq
