*** Booting Zephyr OS build v4.2.0-rc1-129-gfdd02c5105d2 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.896,606] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.902,801] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.902,832] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.902,862] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.2 Build 0
[00:00:05.903,778] <inf> bt_hci_core: HCI transport: Controller
[00:00:05.903,869] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.903,900] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.903,930] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.903,961] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.929,748] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x01 index 0xff
[00:00:06.017,517] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.017,547] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.065,185] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x01 index 0xff
[00:00:06.097,229] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.097,229] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.147,644] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x01 index 0xff
[00:00:06.165,222] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.165,222] <wrn> bttester_mesh: Loading default comp data
[00:00:06.165,496] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.594,238] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.616,699] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:08.932,464] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:08.932,495] <dbg> bttester_mesh: config_prov: 
[00:00:08.932,525] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:08.957,641] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:08.957,702] <dbg> bttester_mesh: start: 
[00:00:08.957,794] <inf> bt_mesh_provisionee: Device UUID: 66401a91-1fe6-498c-ae47-0d4a15f14335
[00:00:08.959,594] <inf> bt_mesh_provisionee: Device UUID: 66401a91-1fe6-498c-ae47-0d4a15f14335
[00:00:08.959,625] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:08.993,103] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:08.993,133] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:11.394,012] <inf> bt_mesh_main: Primary Element: 0x0002
[00:00:11.401,519] <dbg> bttester_mesh: prov_complete: net_idx 0x0000 addr 0x0002
[00:00:11.401,550] <dbg> bttester: tester_event: service 0x04 opcode 0x83
[00:00:13.124,511] <dbg> bttester_mesh: link_close: bearer 0x01
[00:00:13.124,572] <dbg> bttester: tester_event: service 0x04 opcode 0x85
[00:00:13.810,485] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:13.810,516] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:13.813,903] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:13.813,903] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:14.417,816] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:14.417,846] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:14.421,234] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:14.421,264] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:14.761,871] <dbg> bttester_mesh: net_recv_ev: ttl 0x07 ctl 0x01 src 0x0001 dst 0x0002 payload_len 7
[00:00:14.761,871] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:14.877,929] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:14.877,960] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:14.881,347] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:14.881,347] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:15.411,529] <dbg> bttester_mesh: net_recv_ev: ttl 0x07 ctl 0x01 src 0x0001 dst 0x0002 payload_len 7
[00:00:15.411,590] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:16.550,628] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:16.550,689] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:16.554,046] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:16.554,077] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:17.157,592] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 14
[00:00:17.157,592] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:17.160,919] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 2
[00:00:17.160,919] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:17.265,258] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:17.265,289] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:17.268,676] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:17.268,707] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:17.372,436] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:17.372,467] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:17.375,854] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:17.375,854] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
