*** Booting Zephyr OS build 4.1.99 ***
[00:00:00.250,793] <dbg> bttester: tester_init: Initializing tester
[00:00:05.964,752] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.970,855] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.970,886] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.970,916] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 99
[00:00:05.971,893] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.971,923] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.971,954] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.971,984] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.987,365] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.987,396] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.045,745] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.045,776] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.089,569] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.089,599] <wrn> bttester_mesh: Loading default comp data
[00:00:06.089,904] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.541,625] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.590,270] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:13.978,179] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:13.978,210] <dbg> bttester_mesh: config_prov: 
[00:00:13.978,240] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:14.007,537] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:14.007,568] <dbg> bttester_mesh: start: 
[00:00:14.007,659] <inf> bt_mesh_provisionee: Device UUID: f6f81cfa-6b19-46cd-aa6d-4b8dcad40d21
[00:00:14.009,368] <inf> bt_mesh_provisionee: Device UUID: f6f81cfa-6b19-46cd-aa6d-4b8dcad40d21
[00:00:14.009,368] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:14.037,384] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:14.037,414] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:16.291,076] <inf> bt_mesh_main: Primary Element: 0x0002
[00:00:16.300,354] <dbg> bttester_mesh: prov_complete: net_idx 0x0000 addr 0x0002
[00:00:16.300,384] <dbg> bttester: tester_event: service 0x04 opcode 0x83
[00:00:18.031,829] <dbg> bttester_mesh: link_close: bearer 0x01
[00:00:18.031,890] <dbg> bttester: tester_event: service 0x04 opcode 0x85
[00:00:18.711,181] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:18.711,212] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:18.714,813] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:18.714,813] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:18.800,720] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:18.800,720] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:18.804,321] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:18.804,382] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:19.147,094] <dbg> bttester_mesh: net_recv_ev: ttl 0x07 ctl 0x01 src 0x0001 dst 0x0002 payload_len 7
[00:00:19.147,155] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:19.297,332] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:19.297,332] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:19.300,964] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:19.300,964] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:19.830,841] <dbg> bttester_mesh: net_recv_ev: ttl 0x07 ctl 0x01 src 0x0001 dst 0x0002 payload_len 7
[00:00:19.830,871] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:20.987,304] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 14
[00:00:20.987,335] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:20.990,936] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 2
[00:00:20.990,966] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:21.094,116] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:21.094,146] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:21.097,778] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:21.097,808] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:21.098,876] <wrn> bt_mesh_cfg_srv: Prohibited Default TTL value 0x80
[00:00:27.824,768] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:27.824,829] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:27.828,521] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:27.828,521] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:27.829,620] <wrn> bt_mesh_cfg_srv: Prohibited Default TTL value 0x01
[00:00:30.984,161] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 14
[00:00:30.984,191] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:30.987,701] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 2
[00:00:30.987,731] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
