*** Booting Zephyr OS build v4.2.0-rc1-129-gfdd02c5105d2 ***
[00:00:00.250,732] <dbg> bttester: tester_init: Initializing tester
[00:00:05.952,209] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.958,190] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.958,221] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.958,251] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.2 Build 0
[00:00:05.959,167] <inf> bt_hci_core: HCI transport: Controller
[00:00:05.959,259] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.959,289] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.959,320] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.959,350] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.001,190] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x01 index 0xff
[00:00:06.061,218] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.061,248] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.093,048] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x01 index 0xff
[00:00:06.151,489] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.151,519] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.193,908] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x01 index 0xff
[00:00:06.202,148] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.202,148] <wrn> bttester_mesh: Loading default comp data
[00:00:06.202,423] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.631,652] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.642,944] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:09.991,729] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:09.991,760] <dbg> bttester_mesh: config_prov: 
[00:00:09.991,760] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:10.038,177] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:10.038,238] <dbg> bttester_mesh: start: 
[00:00:10.038,330] <inf> bt_mesh_provisionee: Device UUID: 66401a91-1fe6-498c-ae47-0d4a15f14335
[00:00:10.039,886] <inf> bt_mesh_provisionee: Device UUID: 66401a91-1fe6-498c-ae47-0d4a15f14335
[00:00:10.039,916] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:10.062,561] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:10.062,561] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:13.036,804] <inf> bt_mesh_main: Primary Element: 0x0002
[00:00:13.044,342] <dbg> bttester_mesh: prov_complete: net_idx 0x0000 addr 0x0002
[00:00:13.044,342] <dbg> bttester: tester_event: service 0x04 opcode 0x83
[00:00:14.804,595] <dbg> bttester_mesh: link_close: bearer 0x01
[00:00:14.804,626] <dbg> bttester: tester_event: service 0x04 opcode 0x85
[00:00:15.452,117] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:15.452,148] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:15.455,535] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:15.455,535] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:15.559,295] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:15.559,295] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:15.562,713] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:15.562,744] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:15.904,388] <dbg> bttester_mesh: net_recv_ev: ttl 0x07 ctl 0x01 src 0x0001 dst 0x0002 payload_len 7
[00:00:15.904,418] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:16.022,033] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:16.022,064] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:16.025,451] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:16.025,451] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:16.553,924] <dbg> bttester_mesh: net_recv_ev: ttl 0x07 ctl 0x01 src 0x0001 dst 0x0002 payload_len 7
[00:00:16.553,955] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:17.695,495] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:17.695,526] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:17.698,944] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:17.698,944] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:17.802,032] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 14
[00:00:17.802,032] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:17.805,328] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 2
[00:00:17.805,358] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:17.909,271] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:17.909,301] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:17.912,780] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:17.912,811] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:18.530,883] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 14
[00:00:18.530,944] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:18.534,240] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 2
[00:00:18.534,240] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
